time,follower_world_cs_x,follower_world_cs_z,follower_compass_heading,leader_world_cs_x,leader_world_cs_z,leader_follower_cs_x,leader_follower_cs_z,follower_FT_R11,follower_FT_R21,follower_FT_R12,follower_FT_R22,x_relative_error_heading,compass_relative_error_heading,linear_distance_error,omega,v,v_without_angle_error,v_max,left_wheel_velocity,right_wheel_velocity,follower_wheel_radius,follower_axle_length,proportional_gain,max_follower_distance,min_follower_distance,optimal_follower_distance
0,1.00003349781036,0.928261876106262,0.0395646803081036,0.0,0.0,-0.999392263105149,-0.9289522118067804,0.9999997615814491,0.0006905338839966712,-0.0006905338839966712,0.9999997615814491,-137.09201417387158,-132.90798582612842,-12.135545124463569,-46.39363909719793,1.8984299970851858e-14,1.3069368882470933e-13,100,-100,100,0.5,2.8,20,15,12,13.5
1,0.978189706802368,0.925856053829193,353.921039581299,0.999858975410461,15.0881090164185,1.521314903052124,14.080322421710488,0.9943768983186122,-0.1058989333763864,0.1058989333763864,0.9943768983186122,83.83337297410161,6.166627025898393,0.6622695403516303,2.152558906887852,0.00961367533402,0.017069510084310163,100,6.046392289954025,-6.007937588617945,0.5,2.8,20,15,12,13.5
2,0.95253598690033,0.919593870639801,347.032192230225,0.999273419380188,15.9283094406128,3.4135546435479007,14.615449775612696,0.9744963020723942,-0.22440355890054225,0.22440355890054223,0.974496302072394,76.85377263408391,13.14622736591609,1.508788340433906,4.588899035020343,0.03921986454780013,0.09271910300037377,100,12.92735702715256,-12.770477568961358,0.5,2.8,20,15,12,13.5
3,0.956158638000488,0.919560551643372,348.314295768738,0.998385310173035,17.0193862915039,3.3022578954814814,15.757578009879834,0.9792733772406541,-0.20254296489308998,0.20254296489308998,0.9792733772406541,78.16402056764575,11.83597943235425,2.5998811158877295,4.1315362258582224,0.36024740559920204,0.8160646420121351,100,12.288796243601427,-10.847806621204617,0.5,2.8,20,15,12,13.5
4,0.962424397468567,0.924322128295898,350.397308349609,0.997156918048859,18.2031402587891,2.9166130563927224,17.030916904674452,0.985988201493348,-0.1668150668132622,0.1668150668132622,0.9859882014933479,80.28213703720863,9.717862962791372,3.7788530387478723,3.3921740991664127,3.817433101027809,8.000390919406328,100,17.132953679721574,-1.8632212756103366,0.5,2.8,20,15,12,13.5
5,0.95909458398819,0.98726212978363,352.188042640686,0.995693564414978,19.3948612213135,2.5382631531734496,18.231792670088744,0.9907194956955406,-0.13592233388510352,0.13592233388510352,0.9907194956955407,82.07412423452634,7.925875765473664,4.907635475526444,2.7666525642308266,23.389929888830792,45.39486212651159,100,54.5264869575079,39.03323259781527,0.5,2.8,20,15,12,13.5
6,0.912829220294952,1.43341159820557,354.12523651123,0.993586003780365,20.905403137207,2.0733766557825337,19.3614587620943,0.994747996649568,-0.1023543998158888,0.1023543998158888,0.9947479966495681,83.88761334243561,6.112386657564386,5.97215900081504,2.133625446589394,49.41946249824876,87.48257548782026,100,100,92.86477374604722,0.5,2.8,20,15,12,13.5
7,0.802914321422577,2.60125660896301,354.855891227722,0.99165141582489,22.1099243164063,1.937144867508308,19.413170971598902,0.9959723355820164,-0.08966106599468603,0.08966106599468603,0.9959723355820164,84.30159906646334,5.698400933536661,6.009580656955293,1.9891171677786659,51.060848913964506,88.2794259342038,100,100,96.55216975814875,0.5,2.8,20,15,12,13.5
8,0.64907431602478,4.36258840560913,355.198655605316,1.00386023521423,23.3922958374023,1.9463507642669904,18.93323418464306,0.996490895548759,-0.08370122513101165,0.08370122513101165,0.9964908955487589,84.1305687144312,5.869431285568794,5.533014422001031,2.0488180230547797,42.6004658799325,74.38409784909476,100,90.93762222441838,79.46424129531162,0.5,2.8,20,15,12,13.5
9,0.467061638832092,6.63803625106812,356.010169267654,1.0991119146347,24.8878078460693,1.9003269309441773,18.161564039927356,0.9975764154286955,-0.06957941779315793,0.06957941779315793,0.9975764154286955,84.02661871346926,5.9733812865307385,4.760713316320754,2.085103418539524,21.781996514487005,38.25890602966041,100,49.402282600884675,37.72570345706335,0.5,2.8,20,15,12,13.5
10,0.304434180259705,9.12297248840332,357.168762683868,1.33149063587189,26.5505142211914,1.8866241084861173,17.355538173285314,0.9987793562997542,-0.04939430563788165,0.04939430563788166,0.9987793562997542,83.7960543081169,6.203945691883106,3.9577792348020253,2.165585578765557,6.217270061479717,11.061824444157036,100,18.498179743502995,6.370900502415876,0.5,2.8,20,15,12,13.5
11,0.185320153832436,11.685320854187,358.253699541092,1.86615550518036,28.7723331451416,2.2007638749980893,17.0278546762673,0.9995355605996334,-0.03047397408899327,0.030473974088993265,0.9995355605996336,82.63563534782251,7.3643646521774855,3.6694844567207276,2.5706482099596824,3.4563829179209273,6.531236081999269,100,14.110580823728965,-0.2850491520452554,0.5,2.8,20,15,12,13.5
12,0.147237569093704,14.0831804275513,2.54914021492004,2.54237103462219,30.7672538757324,1.6507189337962649,16.774090083924158,0.999010443607107,0.04447621346215505,-0.04447621346215505,0.9990104436071071,84.37968449050733,5.62031550949267,3.35511706105882,1.9618602128309943,2.087381576828945,3.592395345217217,100,9.667971749584673,-1.3184454422688932,0.5,2.8,20,15,12,13.5
13,0.274403244256973,16.2089691162109,7.1492395401001,3.47963643074036,32.9579620361328,1.0958305471027088,17.017680189243332,0.9922253493205625,0.12445423321722614,-0.12445423321722615,0.9922253493205625,86.31560249453686,3.684397505463138,3.5529259545489253,1.2860973484519507,3.468527660240472,5.244360312690239,100,10.538127896146406,3.335982744815482,0.5,2.8,20,15,12,13.5
14,0.501563608646393,17.9573268890381,9.4539041519165,4.69302701950073,35.2641754150391,1.2918150692608772,17.760252961410885,0.9864180671445841,0.16425406177852278,-0.16425406177852278,0.986418067144584,85.83984326179271,4.1601567382072915,4.3071719098365975,1.4521686496149002,12.778401815034519,20.01021284763571,100,29.62287584899076,21.490731411147316,0.5,2.8,20,15,12,13.5
15,0.785941600799561,19.5812377929688,11.4723796844482,6.18874740600586,37.6082458496094,1.7093703192862675,18.74143492784102,0.9800206991485679,0.1988955234296445,-0.19889552342964448,0.9800206991485679,84.78858108429318,5.211418915706815,5.319227668609468,1.8191283755959353,38.97522708340516,65.44042040564759,100,83.04401361847894,72.85689471514169,0.5,2.8,20,15,12,13.5
16,1.19517266750336,21.5212841033936,13.0664806365967,8.1900691986084,40.2946510314941,2.5694770525830126,19.868710853354635,0.9741083968843071,0.2260814700931625,-0.2260814700931625,0.9741083968843071,82.6312477954533,7.368752204546695,6.5341678963205965,2.57217975465861,50.55856610426803,95.5567566721651,100,100,93.91502889549196,0.5,2.8,20,15,12,13.5
17,1.77840411663055,24.0296115875244,13.4445495605469,9.78503704071045,42.1915512084961,3.5644870044737944,19.525794579778808,0.972595391718889,0.23250420212800615,-0.23250420212800615,0.9725953917188891,79.65441935013091,10.345580649869092,6.348481593733609,3.611288907416607,43.627226213667406,93.68472105818864,100,97.36606136810131,77.14284348656831,0.5,2.8,20,15,12,13.5
18,2.45566034317017,26.8160305023193,14.7031230926514,11.3917465209961,44.0097694396973,4.279510010007584,18.89878538156579,0.9672539194375507,0.25381066827991283,-0.25381066827991283,0.9672539194375508,77.2409113184609,12.7590886815391,5.87726231499796,4.45376214093599,36.50545745873382,85.252258172259,100,85.48144891208841,60.54038092284687,0.5,2.8,20,15,12,13.5
