time,follower_world_cs_x,follower_world_cs_z,follower_compass_heading,leader_world_cs_x,leader_world_cs_z,leader_follower_cs_x,leader_follower_cs_z,follower_FT_R11,follower_FT_R21,follower_FT_R12,follower_FT_R22,x_relative_error_heading,compass_relative_error_heading,linear_distance_error,omega,v,v_without_angle_error,v_max,left_wheel_velocity,right_wheel_velocity,follower_wheel_radius,follower_axle_length,proportional_gain,logistic_function_mid,logistic_function_growth_rate,max_follower_distance,min_follower_distance,optimal_follower_distance
0,1.00003349781036,0.928261876106262,0.0395646803081036,0.0,0.0,-0.999392263105149,-0.9289522118067804,0.9999997615814491,0.0006905338839966712,-0.0006905338839966712,0.9999997615814491,-137.09201417387158,-132.90798582612842,-12.135545124463569,-72.1421087961428,1.3647493961209063e-39,1.1671768083053615e-38,100,-100,100,0.5,2.8,30,1,7,15,12,13.5
1,0.978155195713043,0.926912903785706,353.920877933502,1.0004163980484,15.2609634399414,1.5401368944754332,14.251086929791366,0.9943765995434463,-0.10590173879787167,0.10590173879787165,0.9943765995434464,83.8318959732355,6.168104026764496,0.8340678222964577,1.2603170530627368,15.856371408063819,23.83902508646551,100,35.2416305647033,28.183855067551974,0.5,2.8,30,1,7,15,12,13.5
2,0.948348879814148,0.963471412658691,348.379237174988,1.00290739536285,16.1362552642822,3.109737833585943,14.850787085069607,0.9795023187341186,-0.20143288607991802,0.201432886079918,0.9795023187341185,78.17321307055904,11.826786929440956,1.6728819424559553,4.196755561178291,43.475171656175306,99.10771200879186,100,98.70125888364983,75.1994277410514,0.5,2.8,30,1,7,15,12,13.5
3,0.842318475246429,1.49656116962433,348.798795700073,1.00925958156586,17.3348350524902,3.2404244732388388,15.50414261269823,0.9809510725208835,-0.1942549698724026,0.1942549698724026,0.9809510725208838,78.19489992887434,11.805100071125665,2.3391536680988807,4.381524097980386,43.10329658602859,99.99151105358703,100,98.47486064640226,73.9383256977121,0.5,2.8,30,1,7,15,12,13.5
4,0.640797972679138,2.51414442062378,348.810193061829,1.02227449417114,18.9457492828369,3.562939044659876,16.045205765224505,0.9809896946004213,-0.19405983378270747,0.19405983378270747,0.9809896946004214,77.48025181369213,12.519748186307865,2.936032449601562,4.975508950413591,40.90835200511755,99.99986988062537,100,95.74812907139315,67.88527894907705,0.5,2.8,30,1,7,15,12,13.5
5,0.355707347393036,3.95503664016724,348.810896873474,1.05843985080719,20.8316307067871,3.964240689960188,16.419441403801997,0.980992078324518,-0.19404778345691728,0.1940477834569173,0.980992078324518,76.42650815756669,13.573491842433313,3.3912184362414592,5.764741795565232,38.448054081823514,99.99999462288687,100,93.03738519122967,60.75483113606438,0.5,2.8,30,1,7,15,12,13.5
6,0.0125395245850086,5.68989753723145,348.811196327209,1.34728384017944,23.4595375061035,4.757443095690336,17.172896733009697,0.9809930924928627,-0.19404265634465495,0.19404265634465495,0.9809930924928626,74.51556204520588,15.484437954794116,4.31969828620414,7.037061365885361,35.273727683915276,99.99999999191064,100,90.25122719230956,50.843683543351545,0.5,2.8,30,1,7,15,12,13.5
7,-0.38960012793541,7.72315883636475,348.811407089233,1.9288284778595,25.6412677764893,5.751176899124925,17.12768821135273,0.9809938062704404,-0.19403904776882877,0.19403904776882877,0.9809938062704404,71.43885309552012,18.561146904479884,4.567477388676579,8.974010171223556,31.66395040360787,99.99999999857225,100,88.4551292866417,38.20067232778979,0.5,2.8,30,1,7,15,12,13.5
8,-0.827318370342255,9.93177223205566,348.588563919067,2.83410048484802,27.7759895324707,7.119570692806236,16.76704482750937,0.9802317032307326,-0.1978529958867872,0.1978529958867872,0.9802317032307325,66.99310213589565,23.006897864104346,4.715984164946299,11.705735477763714,28.054342533441876,99.99999999949513,100,88.88474440462215,23.332625729145356,0.5,2.8,30,1,7,15,12,13.5
9,-1.30848455429077,12.3465719223022,349.293855667114,3.99027585983276,29.7674999237061,8.442844694531793,16.13331856192016,0.9825928802212347,-0.18577198857346094,0.18577198857346094,0.9825928802212349,62.376159467537036,27.623840532462964,4.7089427028694075,14.605586761158124,25.31395179416554,99.99999999946962,100,91.52354651957383,9.732260657088332,0.5,2.8,30,1,7,15,12,13.5
