time,follower_world_cs_x,follower_world_cs_z,follower_compass_heading,leader_world_cs_x,leader_world_cs_z,leader_follower_cs_x,leader_follower_cs_z,follower_FT_R11,follower_FT_R21,follower_FT_R12,follower_FT_R22,x_relative_error_heading,compass_relative_error_heading,linear_distance_error,omega,v,v_without_angle_error,v_max,left_wheel_velocity,right_wheel_velocity,follower_wheel_radius,follower_axle_length,proportional_gain,max_follower_distance,min_follower_distance,optimal_follower_distance
0,1.00003349781036,0.928261935710907,0.0395646803081036,0.0,0.0,-0.9993922630639899,-0.9289522714114112,0.9999997615814491,0.0006905338839966712,-0.0006905338839966712,0.9999997615814491,-137.09201233945097,-132.90798766054903,-12.135545083913513,-46.39363973753152,0.002761347504674211,0.01900995530542995,100,-100,100,0.5,2.8,20,15,12,13.5
1,0.97717559337616,0.925343692302704,353.510457515717,0.999854683876038,15.0874767303467,1.6231644916868726,14.068825948220768,0.9935925007604397,-0.1130218670550773,0.11302186705507729,0.9935925007604397,83.418704737051,6.5812952629489985,0.6621511970605347,2.29730542768732,5.6489299551499945,10.25760044551028,100,17.730315107824484,4.865404712775494,0.5,2.8,20,15,12,13.5
2,0.949721574783325,0.929257750511169,347.036713600159,0.999302089214325,15.8937759399414,3.4052572594886628,14.572010357733733,0.9745140073495484,-0.22432665797787854,0.2243266579778785,0.9745140073495485,76.84688163948614,13.153118360513858,1.4646003244055752,4.5913044459097065,6.167173487561244,14.582860983664114,100,25.189999423669665,-0.5213054734246896,0.5,2.8,20,15,12,13.5
3,0.904341518878937,1.13868880271912,348.13849067688,0.997987270355225,16.9099884033203,3.3333861253755437,15.415291030591874,0.9786472900029061,-0.20554678730149914,0.20554678730149914,0.9786472900029061,77.79828768730285,12.201712312697156,2.271577619841727,4.259201084753945,8.876169129714022,20.355672596270434,100,29.67810129673909,5.826575222116997,0.5,2.8,20,15,12,13.5
4,0.839661657810211,1.53200888633728,350.966428756714,0.990878343582153,17.9381408691406,2.7253195846286395,16.17889570659436,0.9875965116101981,-0.1570131531285448,0.1570131531285448,0.987596511610198,80.43834373599663,9.561656264003375,2.906828856400555,3.3376476750159814,12.47808385259566,25.988130358368693,100,34.30158119523607,15.610754215146573,0.5,2.8,20,15,12,13.5
5,0.760993897914886,2.14646100997925,353.513237953186,0.974780559539795,18.9290885925293,2.1084126919141406,16.651032677639964,0.9935979842917672,-0.11297365007530465,0.11297365007530463,0.9935979842917673,82.78341117996456,7.21658882003544,3.283989195398643,2.519064713444619,15.872569920520231,29.775624266078342,100,38.798521038685394,24.69175864339553,0.5,2.8,20,15,12,13.5
6,0.677786648273468,3.06136393547058,355.904135704041,0.938622355461121,20.3075122833252,1.4919833760506052,17.183470362762623,0.9974459411361855,-0.07142544722260427,0.07142544722260429,0.9974459411361857,85.03764392206358,4.96235607793642,3.748120712192172,1.7321890443268573,21.079601051140408,34.84317803567415,100,47.00933142639602,37.309072778165614,0.5,2.8,20,15,12,13.5
7,0.607308089733124,4.33227443695068,357.963079929352,0.893919587135315,21.8643035888672,0.9095796130279038,17.510764039917216,0.9993681311106463,-0.03554347366837069,0.03554347366837069,0.9993681311106463,87.02649886719621,2.97350113280379,4.0343717405013955,1.037947701584146,26.729940861072834,38.158783002763904,100,56.366135286581276,50.55362815771006,0.5,2.8,20,15,12,13.5
8,0.562997221946716,6.00713062286377,359.196430921555,0.838256001472473,23.7596759796143,0.5242016845179265,17.746939077856197,0.9999016523348238,-0.01402446641015242,0.01402446641015242,0.9999016523348235,88.30811308698637,1.691886913013633,4.254679215327741,0.5905799440698158,32.3425441905658,40.78983337417614,100,66.33871222452709,63.03146453773612,0.5,2.8,20,15,12,13.5
9,0.54897665977478,8.21834945678711,0.750431716442108,0.774242877960205,25.9222221374512,-0.006623021581972005,17.705304541232973,0.9999142289171775,0.013097129798791692,-0.013097129798791693,0.9999142289171774,90.02143262578105,-0.021432625781045544,4.205305779969457,-0.007481397744541321,40.04547026162832,40.194989175559826,100,80.06999260957191,80.11188843694136,0.5,2.8,20,15,12,13.5
10,0.566956639289856,10.9499940872192,1.00210118293762,0.725150942802429,28.2066440582275,-0.14363270959172963,17.256777315139118,0.9998470544596253,0.017489073400579237,-0.017489073400579237,0.9998470544596255,90.47687687443327,-0.4768768744332732,3.7573750512516995,-0.1664614317096037,32.35868570542408,34.948300850381244,100,64.25127940206127,65.18346341963505,0.5,2.8,20,15,12,13.5
11,0.603245973587036,14.0207185745239,0.903090000152588,0.726349353790283,30.5599555969238,-0.13759081704576348,16.53912284531455,0.999875783921332,0.015761241312208088,-0.015761241312208088,0.999875783921332,90.47663901735174,-0.4766390173517437,3.0396951521284414,-0.1663784039251662,25.265191346018913,27.28615404652977,100,50.06452316104736,50.99624222302829,0.5,2.8,20,15,12,13.5
12,0.640885293483734,17.2828388214111,0.704988896846771,0.810970187187195,32.9404411315918,-0.022580168725848893,15.658509798535183,0.9999243021029551,0.012304066966579775,-0.012304066966579775,0.9999243021029552,90.08262264344175,-0.08262264344175207,2.158526079259248,-0.02884074329519747,19.179991108029256,19.454607745220915,100,38.27922813483196,38.44073629728506,0.5,2.8,20,15,12,13.5
13,0.670648097991943,20.4598388671875,0.611977875232697,1.18248915672302,35.8673095703125,0.34724735212872027,15.412058720803582,0.9999429583534157,0.010680825783572618,-0.01068082578357262,0.9999429583534157,88.70929364676041,1.2907063532395853,1.9159701198808161,0.45054151080879484,14.633415146259303,17.624255267523015,100,30.52834652278323,28.00531406225398,0.5,2.8,20,15,12,13.5
14,0.700652658939362,23.5190162658691,0.989920377731323,1.76288199424744,38.1641311645508,0.8090543181751353,14.661280730775875,0.9998507499569983,0.01727651036604335,-0.017276510366043354,0.9998507499569984,86.84144713494649,3.158552865053508,1.1835868082828362,1.1025429418696773,8.909044596881676,12.918246585850369,100,20.905209430998447,14.730968956528256,0.5,2.8,20,15,12,13.5
15,0.756439328193665,26.4050674438477,2.25481176376343,2.57606101036072,40.5475311279297,1.2617955130082157,14.203104386194699,0.9992257356337131,0.039343731994623224,-0.039343731994623224,0.9992257356337131,84.92320446297899,5.076795537021014,0.7590428192705403,1.7721359514314072,6.433874271080348,10.712228609728578,100,17.829729206168636,7.905767878152756,0.5,2.8,20,15,12,13.5
