time,delta_time,follower_world_cs_x,follower_world_cs_z,follower_compass_heading,leader_world_cs_x,leader_world_cs_z,leader_follower_cs_x,leader_follower_cs_z,follower_FT_R11,follower_FT_R21,follower_FT_R12,follower_FT_R22,x_relative_error_heading,compass_relative_error_heading,linear_distance_error,omega,v,v_without_angle_error,v_max,left_wheel_velocity,right_wheel_velocity,follower_wheel_radius,follower_axle_length,proportional_gain,integral_gain,derivative_gain,logistic_function_mid,logistic_function_growth_rate,max_follower_distance,min_follower_distance,optimal_follower_distance
0,1,1.00003349781036,0.928261876106262,0.0395646803081036,0.0,0.0,-0.999392263105149,-0.9289522118067804,0.9999997615814491,0.0006905338839966712,-0.0006905338839966712,0.9999997615814491,-137.09201417387158,-132.90798582612842,-12.135545124463569,-69.5904586457969,-1.5634179679211417,-13.135545124361219,100,-100,100,0.5,2.8,30,0,0,1,10,15,12,13.5
1,1,0.957752287387848,0.9227175116539,348.446039199829,1.05436551570892,15.5483589172363,3.024035940260151,14.30992408339708,0.9797365066134837,-0.2002907327082497,0.20029073270824968,0.9797365066134834,78.06756351040808,11.932436489591922,1.1259605031797122,6.247809135854793,33.86009387529155,91.15731649857729,100,85.21405333097651,50.226322170189675,0.5,2.8,30,0,0,1,10,15,12,13.5
2,1,0.922611713409424,0.972166061401367,343.543128967285,1.17150402069092,16.371675491333,4.601277231321843,14.698132054914202,0.9590332536197297,-0.2832935199604028,0.2832935199604028,0.9590332536197297,72.61717497474513,17.382825025254874,1.9015206412606283,9.10162589966292,31.618130371771443,100.49207790072757,100,88.72081326259907,37.751708224486705,0.5,2.8,30,0,0,1,10,15,12,13.5
3,1,0.7672980427742,1.4937070608139,343.480438232422,1.35329246520996,17.6373043060303,5.152119959714585,15.310610092337761,0.9587227112488692,-0.28434268574313204,0.28434268574313204,0.9587227112488692,71.40157860006467,18.598421399935336,2.654229213394377,9.738110673067341,30.66285706621656,100.47928972480696,100,88.59242401702167,34.05900424784457,0.5,2.8,30,0,0,1,10,15,12,13.5
4,1,0.478731393814087,2.46564865112305,343.437171936035,1.52436876296997,19.3035717010498,5.802180524405691,15.841202962693117,0.9585077195760958,-0.2850665738262427,0.2850665738262427,0.9585077195760958,69.8836593056365,20.116340694363505,3.3703589215828416,10.532891357086964,29.575894587344354,100.44006616196944,100,88.6438849745322,29.65969337484521,0.5,2.8,30,0,0,1,10,15,12,13.5
5,1,0.0763669013977051,3.82956790924072,343.914014816284,1.64245188236237,21.2972850799561,6.3447166688754795,16.349872651351195,0.9608469578788205,-0.27707963392320334,0.27707963392320334,0.9608469578788205,68.79080441920563,21.209195580794372,4.037781083241633,11.105108837528784,28.85380254267195,100.38929508461719,100,88.80190983042449,26.613300340263308,0.5,2.8,30,0,0,1,10,15,12,13.5
6,1,-0.362387001514435,5.42466020584106,346.12233543396,1.66207110881805,24.1509304046631,6.45685294751547,17.694085910663546,0.970810055162438,-0.23984961287336753,0.23984961287336753,0.9708100551624379,69.95217102313123,20.047828976868775,5.335382295026065,10.497018705692586,29.821751474109245,101.11737005277406,100,89.03515532415773,30.251850572279253,0.5,2.8,30,0,0,1,10,15,12,13.5
7,1,-0.797980546951294,7.26555633544922,348.462248802185,1.7584832906723,26.5713958740234,6.366235144730451,18.40440158560582,0.9797931318421327,-0.20001354652869227,0.20001354652869227,0.9797931318421326,70.91907266992939,19.080927330070608,5.974366424668382,9.990750187305089,30.272565868278086,100.36051961371044,100,88.51923226101042,32.57103121210193,0.5,2.8,30,0,0,1,10,15,12,13.5
8,1,-1.18868017196655,9.28668022155762,350.96210193634,2.11792969703674,28.9226207733154,6.350122547227221,18.8727256593517,0.9875846515907785,-0.15708773326495182,0.15708773326495182,0.9875846515907786,71.40341256007851,18.596587439921493,6.412403927651617,9.737150413849598,30.573037132984297,100.18047864042713,100,88.41009542474747,33.88205310718972,0.5,2.8,30,0,0,1,10,15,12,13.5
9,1,-1.51288092136383,11.4240112304688,353.168695926666,2.79800462722778,31.2930450439453,6.64363250721718,19.215212359044475,0.9929006688141686,-0.11894646639718603,0.11894646639718605,0.9929006688141684,70.92724574301162,19.072754256988375,6.831311784883148,9.986470776246355,30.219742475777647,100.1658916845327,100,88.40160312504509,32.4773667780655,0.5,2.8,30,0,0,1,10,15,12,13.5
