time,follower_world_cs_x,follower_world_cs_z,follower_compass_heading,leader_world_cs_x,leader_world_cs_z,leader_follower_cs_x,leader_follower_cs_z,follower_FT_R11,follower_FT_R21,follower_FT_R12,follower_FT_R22,x_relative_error_heading,compass_relative_error_heading,linear_distance_error,omega,v,v_without_angle_error,v_max,left_wheel_velocity,right_wheel_velocity,follower_wheel_radius,follower_axle_length,max_follower_distance,min_follower_distance,optimal_follower_distance
15,1.38376665115356,19.2401180267334,21.3620204925537,10.2133703231812,33.2907218933105,3.1049211481913623,16.301559271556492,0.9312974762397724,0.3642595376231493,-0.3642595376231493,0.9312974762397724,79.21616937437469,10.783830625625313,3.0946187066939075,1.8821335039456173,7.628072863044968,12.950062957018973,100,20.526119537137664,9.98617191504221,0.5,2.8,15,12,13.5
16,1.91754698753357,20.5576286315918,23.76589012146,11.3406915664673,35.029899597168,2.7917267889928885,17.042550929721976,0.9151997481921708,0.4030005222192488,-0.4030005222192488,0.9151997481921708,80.69704661449607,9.302953385503926,3.7696925466711164,1.6236716673659681,13.96043229212233,22.612761873739736,100,32.46714525286937,23.37458391561995,0.5,2.8,15,12,13.5
17,2.53052544593811,21.9069576263428,25.8439483642578,12.9429473876953,37.2664756774902,2.6754750824775577,18.362329877762,0.8999846653268058,0.43592155507223734,-0.43592155507223734,0.8999846653268055,81.7100800300393,8.289919969960707,5.056220667385624,1.4468639820264375,32.86258238644404,51.405146592804684,100,69.7763839225621,61.67394562321405,0.5,2.8,15,12,13.5
18,3.33904981613159,23.5429878234863,27.1126403808594,14.3883762359619,39.174488067627,2.711221047351745,18.94942465213464,0.8901122823320913,0.455741291569631,-0.455741291569631,0.8901122823320914,81.85757021393364,8.142429786066359,5.642398340190578,1.4211220887931546,42.1142217136648,65.52954072794991,100,88.20758527595042,80.24930157870877,0.5,2.8,15,12,13.5
19,4.44729995727539,25.725456237793,26.8916492462158,15.9831275939941,41.2205085754395,3.2798977568446803,19.03718038248135,0.8918634616541914,0.4523047266679873,-0.4523047266679873,0.8918634616541914,80.2245339374211,9.7754660625789,5.817659439240757,1.7061406870896787,42.17169905736159,69.37392782747183,100,89.12059203857429,79.56620419087209,0.5,2.8,15,12,13.5
20,5.70372104644775,28.2636909484863,24.6268424987793,17.6916236877441,43.3845558166504,4.596528915136532,18.74092543154668,0.9090409858919752,0.41670671457098674,-0.41670671457098674,0.9090409858919751,76.21927323275685,13.780726767243152,5.796382150508922,2.4051905540610727,37.34862299497235,68.92000566243641,100,81.4317795413157,67.9627124385737,0.5,2.8,15,12,13.5
21,7.0107250213623,31.1541595458984,22.3177890777588,19.492992401123,45.6438102722168,6.044894750439513,18.14431659133642,0.925091861013083,0.379743398477644,-0.379743398477644,0.9250918610130829,71.57417670775013,18.425823292249873,5.624773910050216,3.2159128384042166,31.72032390942794,65.1303519757093,100,72.44520376638769,54.436091871324074,0.5,2.8,15,12,13.5
22,8.26030445098877,34.1616058349609,21.8904228210449,21.8498039245605,48.5668144226074,7.238944743743203,18.43318229153185,0.9278985870775392,0.37283268646875123,-0.37283268646875123,0.9278985870775394,68.55943359832152,21.44056640167848,6.303649421149899,3.742084772017626,36.11483628696027,78.64485339503652,100,82.70750993556989,61.75183521227119,0.5,2.8,15,12,13.5
23,9.544921875,37.3319778442383,22.1085414886475,23.9618263244629,50.7740325927734,8.297782240236078,17.879675043500676,0.9264725341543988,0.37636238315953713,-0.37636238315953713,0.9264725341543988,65.1044467736141,24.8955532263859,6.2113157797128835,4.345093729059312,33.32827496632375,77.05316783019349,100,78.82281237401357,54.49028749128142,0.5,2.8,15,12,13.5
24,10.850227355957,40.5247611999512,22.9799842834473,26.3450679779053,52.7314414978027,9.499585758317917,17.287307488845638,0.920641295354505,0.39040953534459033,-0.39040953534459033,0.920641295354505,61.21067010893435,28.789329891065645,6.225443716011437,5.024685960419159,31.493693211562686,77.30201232449782,100,77.05650711229902,48.91826573395173,0.5,2.8,15,12,13.5
25,12.2501659393311,43.7904968261719,25.0129947662354,28.9782638549805,54.377628326416,10.682710416223081,16.667222667323234,0.9062119132904972,0.4228238027954152,-0.42282380279541526,0.9062119132904972,57.34251472183711,32.65748527816289,6.296883928512958,5.699806435255185,30.33961375322806,78.53100862224018,100,76.63868552517064,44.7197694877416,0.5,2.8,15,12,13.5
26,13.7363319396973,46.9483070373535,27.9504108428955,31.7279624938965,55.713809967041,11.784517040518512,16.175845255530945,0.8833535869602042,0.4687072011443187,-0.46870720114431874,0.8833535869602043,53.925704527450115,36.074295472549885,6.513315857427383,6.296152313332792,30.34098110401938,81.95520969478967,100,78.31118868537058,43.05273573070694,0.5,2.8,15,12,13.5
27,15.4081201553345,50.0740013122559,31.6121444702148,35.1649169921875,57.173454284668,13.10390644137127,16.401856289333963,0.8516158504389321,0.5241664270832065,-0.5241664270832066,0.8516158504389322,51.37765425563547,38.62234574436453,7.4936479383687775,6.740870980827812,33.199674560329576,92.36953153905155,100,85.27378786697702,47.52491037434128,0.5,2.8,15,12,13.5
28,17.1988410949707,52.9809494018555,35.1141586303711,37.8404884338379,58.3013191223145,13.824708309368036,16.225331398323753,0.8180076001855862,0.5752074113210104,-0.5752074113210104,0.8180076001855862,49.5675174445784,40.4324825554216,7.81628341959593,7.0567994534727765,33.24171189700849,94.35494328815018,100,86.24246226374076,46.72438532429321,0.5,2.8,15,12,13.5
29,19.2573261260986,55.8996620178223,38.8115005493164,40.4641494750977,59.4611129760742,14.292439143674686,16.06671941648457,0.7792121757797013,0.6267602293673905,-0.6267602293673905,0.7792121757797013,48.344732574178366,41.655267425821634,8.00379709455255,7.270215673793303,33.12977072288524,95.2745372385443,100,86.61614533239172,45.90293755914924,0.5,2.8,15,12,13.5
30,21.4681835174561,58.6392936706543,42.743408203125,42.9307098388672,60.8849449157715,14.237932189357519,16.216173179366884,0.734400599623388,0.6787162582941477,-0.6787162582941476,0.7344005996233879,48.71660368862063,41.28339631137937,8.079689191736769,7.205311920392522,33.37580525565835,95.60471259750354,100,86.92648388841576,46.57673713421764,0.5,2.8,15,12,13.5
31,23.9168930053711,61.2804336547852,46.7669715881348,45.1031074523926,62.6797523498535,13.492355114865033,16.394210223732205,0.6849672094382161,0.7285738960424146,-0.7285738960424146,0.684967209438216,50.545786077376825,39.454213922623175,7.732375642060173,6.886059367359617,33.434440111568556,93.89102409463696,100,86.14984645174404,47.58791399453018,0.5,2.8,15,12,13.5
32,26.5015029907227,63.7113761901855,50.4648818969727,47.2791519165039,65.4106979370117,11.915458563588338,17.10614616158948,0.6365510499419724,0.771234569257481,-0.771234569257481,0.6365510499419724,55.140470737135765,34.859529262864235,7.3470235113373725,6.084135613322927,34.29125312600975,91.26973494242404,100,85.61808596932369,51.546926534715304,0.5,2.8,15,12,13.5
33,29.3054122924805,66.0316162109375,53.601375579834,48.5762405395508,67.8754425048828,9.951190429448879,16.605370389340063,0.5933995622226663,0.8049080441602928,-0.8049080441602929,0.5933995622226663,59.066778945779696,30.933221054220308,5.858835624342873,5.3988655564337575,27.767943844730382,70.24173255083294,100,70.65271124747528,40.41906413144625,0.5,2.8,15,12,13.5
34,32.1703300476074,68.1433868408203,56.9020500183105,49.6411552429199,70.5653915405273,7.511322245148962,15.958567539102605,0.5460719874500533,0.837738255377149,-0.8377382553771487,0.5460719874500533,64.79473756439108,25.205262435608915,4.13790916663789,4.399148183306208,12.777665576202164,29.690269582490675,100,37.87294606566171,13.237716239146947,0.5,2.8,15,12,13.5
35,34.979679107666,69.9533767700195,61.7008628845215,50.6945533752441,73.3864898681641,4.427225368049928,15.464256022548753,0.4740749488494764,0.8804844932611625,-0.8804844932611627,0.4740749488494764,74.02423720055046,15.975762799449539,2.585507103925579,2.78829661368021,4.216815982917945,8.207419602478257,100,16.24086248414048,0.6264014475313022,0.5,2.8,15,12,13.5
36,37.7129516601563,71.3794097900391,69.5668029785156,51.8031768798828,76.2700424194336,0.3361962554857465,14.911059866290927,0.34911504746252464,0.9370798704674212,-0.9370798704674214,0.34911504746252464,88.70838400495681,1.2916159950431876,1.4148494547653652,0.22542951784926382,2.437612372541393,2.6984154464844297,100,5.506427395060724,4.244022095104848,0.5,2.8,15,12,13.5
37,40.2493019104004,72.2920303344727,76.7251434326172,52.9184074401855,78.9414749145508,-3.5626560684661923,13.85744673041114,0.22962264943399396,0.9732797331019039,-0.9732797331019037,0.22962264943399396,104.41810729904964,-14.418107299049636,0.8080868095060616,-2.5164344427424283,0.7941594827086016,1.489220440647302,100,-5.457697474261596,8.634335405096003,0.5,2.8,15,12,13.5
38,42.4311561584473,72.8562164306641,75.7745742797852,54.3833694458008,81.8607940673828,-5.791357043441497,13.798478339203367,0.24573756523461285,0.9693363962178271,-0.969336396217827,0.24573756523461288,112.76827189009464,-22.76827189009464,1.4645521443872145,-3.97381309471424,1.2698514240431107,2.832028640056305,100,-8.586973817113648,13.666379513286092,0.5,2.8,15,12,13.5
39,44.2107925415039,73.3497848510742,71.1119537353516,55.6061630249023,83.9390640258789,-6.330167743037697,14.20972477709773,0.32372002743171663,0.9461529177884559,-0.9461529177884559,0.32372002743171663,114.01208178288944,-24.01208178288944,2.055941048225275,-4.190898873695709,2.195358803637104,5.001805438841216,100,-7.3437992390737765,16.12523445362219,0.5,2.8,15,12,13.5
40,45.651741027832,73.8795547485352,66.1928253173828,56.86865234375,85.8188781738281,-6.395579063853443,15.081880246206588,0.40365986611625426,0.9149091279941455,-0.9149091279941455,0.40365986611625426,112.97971964412328,-22.97971964412328,2.8818968170025094,-4.010717689751708,4.795687371413725,10.734969905282204,100,-1.6386347884773311,20.821384274132228,0.5,2.8,15,12,13.5
