time,delta_time,follower_world_cs_x,follower_world_cs_z,follower_compass_heading,leader_world_cs_x,leader_world_cs_z,leader_follower_cs_x,leader_follower_cs_z,follower_FT_R11,follower_FT_R21,follower_FT_R12,follower_FT_R22,x_relative_error_heading,compass_relative_error_heading,linear_distance_error,omega,v,v_without_angle_error,v_max,left_wheel_velocity,right_wheel_velocity,follower_wheel_radius,follower_axle_length,proportional_gain,integral_gain,derivative_gain,logistic_function_mid,logistic_function_growth_rate,max_follower_distance,min_follower_distance,optimal_follower_distance
0,1,1.00003349781036,0.928261935710907,0.0395646803081036,0.0,0.0,-0.9993922630639899,-0.9289522714114112,0.9999997615814491,0.0006905338839966712,-0.0006905338839966712,0.9999997615814491,-137.09201233945097,-132.90798766054903,-12.135545083913513,-72.14210979186151,1.3647497742161223e-39,1.1671771396090094e-38,100,-100,100,0.5,2.8,30,1,0.1,1,7,15,12,13.5
1,1,0.978196918964386,0.925593554973602,354.057526111603,0.985804200172424,15.2044658660889,1.4858564937415188,14.201354964504924,0.994626342756934,-0.10352989082369474,0.10352989082369474,0.994626342756934,84.02700093734173,5.972999062658275,0.7788743375611542,1.1544145575168556,11.949423114447304,17.539272545823007,100,27.131206989941806,20.666485467847412,0.5,2.8,30,1,0.1,1,7,15,12,13.5
2,1,0.949712932109833,0.952135741710663,348.171216964722,0.926896393299103,15.9486722946167,3.0517745457096663,14.682755235283626,0.9787645348726415,-0.20498776859984064,0.2049877685998406,0.9787645348726415,78.25838978383429,11.741610216165713,1.4965539100518086,4.147457129269682,42.75357948377584,96.99935589333725,100,97.12003892950679,73.89427900559656,0.5,2.8,30,1,0.1,1,7,15,12,13.5
3,1,0.845392048358917,1.49600100517273,349.714587211609,0.783524692058563,17.0406970977783,2.714659000741719,15.3059475593945,0.9839305281729888,-0.17855171723963656,0.17855171723963656,0.983930528172989,79.94262124124423,10.057378758755775,2.044819207094127,3.4281223095867857,47.4898624271115,99.93341196457327,100,100,85.38098238737999,0.5,2.8,30,1,0.1,1,7,15,12,13.5
4,1,0.658726930618286,2.64733505249023,351.550220489502,0.505975544452667,18.4360675811768,2.1689420689411145,15.639792138962664,0.9891450402820197,-0.14694246930510507,0.14694246930510507,0.9891450402820195,82.10452316571954,7.895476834280458,2.2894714239704967,2.433121483502054,53.96388553071313,99.98798080087968,100,100,100,0.5,2.8,30,1,0.1,1,7,15,12,13.5
5,1,0.432242393493652,4.17319583892822,351.695863723755,0.171672075986862,20.1847896575928,2.054678312757111,15.881351659583292,0.9895153651796704,-0.14442763611353562,0.14442763611353565,0.9895153651796703,82.6282044927799,7.371795507220099,2.513713919770872,2.290443919564161,55.12668650790125,99.99749846883361,100,100,100,0.5,2.8,30,1,0.1,1,7,15,12,13.5
6,1,0.165240705013275,6.00175666809082,351.705137252808,-0.166442662477493,22.7912197113037,2.093959945539064,16.6616750323057,0.9895387283536502,-0.1442674775832748,0.1442674775832748,0.9895387283536502,82.8368938393641,7.163106160635906,3.292739000403749,2.3067439851029237,54.99201931714381,99.9999892864678,100,100,100,0.5,2.8,30,1,0.1,1,7,15,12,13.5
7,1,-0.130896925926209,8.0338306427002,351.706084251404,-0.373671531677246,25.1794395446777,2.2330378718552213,17.00130542022076,0.9895411127064879,-0.14425112222650344,0.14425112222650344,0.9895411127064879,82.51731416187889,7.482685838121115,3.647327608953166,2.605595021088474,52.66371883368225,99.99999910471443,100,100,98.03177160831677,0.5,2.8,30,1,0.1,1,7,15,12,13.5
8,1,-0.46816673874855,10.3488874435425,351.706321716309,-0.576525449752808,27.9213428497314,2.4275488802520564,17.404308002524402,0.9895417105531772,-0.144247021028138,0.14424702102813797,0.9895417105531771,82.05962567871963,7.940374321280373,4.0727894943502925,2.984066871561758,50.09988051844123,99.99999995444549,100,100,91.84437379650954,0.5,2.8,30,1,0.1,1,7,15,12,13.5
9,1,-0.822855710983276,12.783763885498,351.70643901825,-0.792201519012451,30.8201332092285,2.6319896159486214,17.843323365422446,0.9895420058687637,-0.144244995134055,0.144244995134055,0.9895420058687637,81.6090605435871,8.390939456412895,4.536395373285984,3.366419312906653,47.85609748588639,99.99999999822523,100,100,86.28622089563414,0.5,2.8,30,1,0.1,1,7,15,12,13.5
10,1,-1.20399844646454,15.4003915786743,351.706510543823,-1.02353131771088,33.9061622619629,2.8479217790323355,18.286209517216452,0.9895421859372059,-0.1442437598325015,0.1442437598325015,0.9895421859372058,81.14778336434395,8.852216635656049,5.006650614495975,3.762462501605754,45.823073506632454,99.999999999934,100,100,81.1112520087688,0.5,2.8,30,1,0.1,1,7,15,12,13.5
11,1,-1.59356939792633,18.0749816894531,351.706558227539,-1.32976019382477,37.9425430297852,3.126805752976001,19.62173984872859,0.9895423059819788,-0.14424293629799712,0.14424293629799712,0.9895423059819788,80.94580729888094,9.054192701119064,6.369312743726876,4.025789830107962,44.60646818725662,100.0,100,100,77.94072485021094,0.5,2.8,30,1,0.1,1,7,15,12,13.5
12,1,-2.00352096557617,20.889591217041,351.706558227539,-1.59549975395203,41.4013786315918,3.3624346960352223,20.238427240370193,0.9895423059819788,-0.14424293629799712,0.14424293629799712,0.9895423059819788,80.56697881658764,9.433021183412365,7.015845199475933,4.389089903355794,43.076686108743466,100.0,100,98.44282394688315,73.86392048809071,0.5,2.8,30,1,0.1,1,7,15,12,13.5
13,1,-2.41599202156067,23.721565246582,351.706558227539,-1.84390497207642,44.8412742614746,3.6124731802364605,20.816326044429545,0.9895423059819788,-0.14424293629799712,0.14424293629799712,0.9895423059819788,80.1549194263427,9.845080573657299,7.62745589194126,4.776730765571993,41.60628470107071,100.0,100,96.587415545743,69.83772325853985,0.5,2.8,30,1,0.1,1,7,15,12,13.5
14,1,-2.84486031532288,26.666145324707,351.706534385681,-1.86048996448517,48.1552886962891,4.0737420347955124,21.12242632052386,0.9895422459596778,-0.14424334806526268,0.14424334806526268,0.9895422459596778,79.08377432727968,10.916225672720316,8.011677476013329,5.529255429376382,39.13525523424935,100.0,100,93.75242567075257,62.78859526624483,0.5,2.8,30,1,0.1,1,7,15,12,13.5
15,1,-3.27237367630005,29.6014289855957,351.706486701965,-1.43313217163086,51.2967948913574,4.9494370312299925,21.203178633668923,0.9895421259145623,-0.14424417159971714,0.14424417159971714,0.9895421259145624,76.86077889455167,13.139221105448328,8.27318789468793,6.924546143632246,35.523258870564504,100.0,100,90.43524694329929,51.65778853895872,0.5,2.8,30,1,0.1,1,7,15,12,13.5
16,1,-3.70529532432556,32.5738677978516,351.70643901825,-0.54911994934082,54.216682434082,6.2450358033263065,20.961211706174375,0.9895420058687637,-0.144244995134055,0.144244995134055,0.9895420058687637,73.40947142309447,16.590528576905527,8.371736748047446,9.023349667145478,31.585922064335325,100.0,100,88.43722319667799,37.90646506066331,0.5,2.8,30,1,0.1,1,7,15,12,13.5
17,1,-4.1428337097168,35.5769386291504,351.667418479919,1.06324362754822,57.4455451965332,8.32029347958894,20.88329262482506,0.9894435402360579,-0.14491887622092836,0.14491887622092833,0.9894435402360579,68.2767400320088,21.723259967991197,8.979750764645118,12.092918588052944,27.63641886090992,100.0,100,89.13300976836808,21.412665675271597,0.5,2.8,30,1,0.1,1,7,15,12,13.5
18,1,-4.59942054748535,38.6641693115234,351.727608680725,2.4070451259613,59.6921653747559,9.959059842767513,19.80111882487157,0.9895952340093085,-0.14387936900772835,0.14387936900772835,0.9895952340093084,63.299689186848035,26.700310813151965,8.664547811054206,15.164632937854176,24.872364660512133,100.0,100,92.20570154701596,7.283757095032577,0.5,2.8,30,1,0.1,1,7,15,12,13.5
19,1,-4.97153377532959,41.6140213012695,357.043287277222,3.53322958946228,61.7828598022461,9.533780100984863,19.703301331392336,0.9986687898510639,-0.0515814712606346,0.0515814712606346,0.9986687898510639,64.17918564518392,25.82081435481608,8.38865108611268,15.144566291839741,24.887817226277228,100.0,100,92.18042006970572,7.370848835403187,0.5,2.8,30,1,0.1,1,7,15,12,13.5
20,1,-5.03618621826172,44.3780174255371,6.59049892425537,4.46836471557617,63.8511734008789,7.206761777470565,20.43533402655063,0.9933918114016654,0.11477242282063213,-0.11477242282063213,0.9933918114016655,70.57420017946139,19.425799820538618,8.168878422611279,12.125562283422616,27.602031135663,100.0,100,89.15563666490932,21.25248787774268,0.5,2.8,30,1,0.1,1,7,15,12,13.5
21,1,-4.68776082992554,47.0186538696289,13.9549961090088,5.30090427398682,65.9443130493164,5.129748094212177,20.775940181703763,0.9704854483826777,0.24115968667559917,-0.24115968667559917,0.9704854483826776,76.13060905050378,13.869390949496221,7.899859951499835,9.459763582131234,30.91997013511457,100.0,100,88.3272783001966,35.35260224026169,0.5,2.8,30,1,0.1,1,7,15,12,13.5
22,1,-4.06306743621826,49.4946556091309,17.5710716247559,6.23857069015503,68.6042404174805,4.052031148944454,21.32793996620952,0.9533432114585916,0.30188859065194756,-0.3018885906519476,0.9533432114585916,79.24275227679718,10.757247723202823,8.2094444800933,8.02226463890945,33.292178862269246,100.0,100,89.04669871348494,44.122016735592034,0.5,2.8,30,1,0.1,1,7,15,12,13.5
23,1,-3.26445865631104,52.0584945678711,18.2796325683594,6.89935541152954,70.7307052612305,3.7942868354683004,20.917886030692276,0.9495370352957538,0.3136549355609606,-0.3136549355609606,0.9495370352957538,79.7189258457632,10.281074154236805,7.759223141564675,7.956979970809996,33.413286801884205,100.0,100,89.1061175220364,44.54702968550042,0.5,2.8,30,1,0.1,1,7,15,12,13.5
24,1,-2.40220642089844,54.7133407592773,17.6739711761475,7.55541229248047,72.8220672607422,3.989800323432136,20.277121080790337,0.9527995017214606,0.3036002462438668,-0.3036002462438668,0.9527995017214604,78.86847537696275,11.131524623037253,7.165917495864804,8.598871946159242,32.276757624127455,100.0,100,88.63035669750079,40.476673799009035,0.5,2.8,30,1,0.1,1,7,15,12,13.5
25,1,-1.53056883811951,57.4420280456543,17.710033416748,8.37858009338379,74.7992477416992,4.159472585101407,19.548992197483535,0.9526082255454824,0.30419988268092296,-0.30419988268092296,0.9526082255454825,77.988206048987,12.011793951013004,6.486603216241679,9.26947728572758,31.20511810743164,100.0,100,88.3647726149005,36.45569981482606,0.5,2.8,30,1,0.1,1,7,15,12,13.5
26,1,-0.61946702003479,60.2447700500488,19.1371421813965,9.47520351409912,76.796516418457,4.110639078641566,18.946380324536143,0.9447365935219136,0.3278303964866748,-0.3278303964866748,0.9447365935219137,77.75873155763593,12.241268442364074,5.887178263915189,9.602144436104366,30.711649434183673,99.99999999999987,100,88.30930328945956,34.53729444727512,0.5,2.8,30,1,0.1,1,7,15,12,13.5
27,1,0.344052612781525,62.9738960266113,21.3658180236816,10.8332815170288,79.0611801147461,3.9073994921466175,18.80310776299556,0.9312733312827365,0.36432126268110454,-0.36432126268110454,0.9312733312827366,78.26066869675948,11.73933130324052,5.704807531918966,9.542944193742025,30.797754032565884,99.99999999999952,100,88.31575180760944,34.8752643226541,0.5,2.8,30,1,0.1,1,7,15,12,13.5
28,1,1.40670645236969,65.6638565063477,23.7002143859863,12.7290534973145,82.1633911132813,3.7354248478349,19.659012845454573,0.9156610893485422,0.4019512028257172,-0.4019512028257172,0.9156610893485424,79.24143542576245,10.758564574237553,6.510751731296107,9.216352594607457,31.286145693033372,100.0,100,88.37807865096762,36.766504121165866,0.5,2.8,30,1,0.1,1,7,15,12,13.5
29,1,2.57527661323547,68.3151931762695,25.6790657043457,14.4526338577271,84.6456909179688,3.62780314386735,19.864435958623893,0.9012354082273756,0.43332982698775246,-0.43332982698775246,0.9012354082273756,79.65024294438386,10.349757055616138,6.692988179190415,9.183937072944744,31.33589811155048,100.0,100,88.38682002734625,36.95677241885568,0.5,2.8,30,1,0.1,1,7,15,12,13.5
30,1,3.86406755447388,70.985969543457,27.4676570892334,16.4578857421875,86.9579925537109,3.807073029796255,19.980389649130075,0.8872713444468563,0.4612478306978455,-0.4612478306978454,0.8872713444468563,79.21214763206028,10.78785236793972,6.83985682312602,9.603084909396788,30.710287371783394,100.0,100,88.3092124898778,34.531936997255784,0.5,2.8,30,1,0.1,1,7,15,12,13.5
31,1,5.21494102478027,73.5663070678711,29.5722713470459,18.7454490661621,89.0353546142578,4.133641187655413,20.131544659612924,0.8697338739458974,0.4935210112153906,-0.4935210112153905,0.8697338739458975,78.39664489867532,11.60335510132468,7.051546896773267,10.233256593102311,29.83645080445136,100.0,100,88.32602006958919,31.019783148216252,0.5,2.8,30,1,0.1,1,7,15,12,13.5
