time,follower_world_cs_x,follower_world_cs_z,follower_compass_heading,leader_world_cs_x,leader_world_cs_z,leader_follower_cs_x,leader_follower_cs_z,follower_FT_R11,follower_FT_R21,follower_FT_R12,follower_FT_R22,x_relative_error_heading,compass_relative_error_heading,linear_distance_error,omega,v,v_without_angle_error,v_max,left_wheel_velocity,right_wheel_velocity,follower_wheel_radius,follower_axle_length,proportional_gain,max_follower_distance,min_follower_distance,optimal_follower_distance
10,-1.11174345016479,11.4513311386108,348.881673812866,1.87508368492126,33.3783302307129,7.15907845004517,20.939484742133256,0.9812310352027559,-0.19283582539281457,0.19283582539281457,0.9812310352027559,71.1247636645333,18.875236335466695,8.629492211072819,6.588700422919256,36.30080831859653,100.0,100,91.04997782136698,54.15325545301914,0.5,2.8,20,15,12,13.5
11,-1.59631192684174,13.9176435470581,348.881761550903,1.73850309848785,37.2545280456543,7.7723773031841095,22.25581542902735,0.9812313304945037,-0.1928343228162095,0.19283432281620946,0.9812313304945036,70.74931479063484,19.25068520936516,10.073951076431449,6.719756803367919,35.991354444502115,100.0,100,90.7980279384344,53.16738983957406,0.5,2.8,20,15,12,13.5
12,-2.11480188369751,16.5556335449219,348.847085952759,1.40831696987152,40.3818511962891,8.065243577114575,22.69477605239821,0.9811144468236417,-0.19342813196104586,0.19342813196104583,0.9811144468236415,70.43586250331046,19.56413749668954,10.585286255859518,6.829172292602274,35.738973523620935,100.0,100,90.59962946652823,52.356264627955504,0.5,2.8,20,15,12,13.5
13,-2.64224910736084,19.201961517334,348.046580314636,0.851183831691742,43.5227088928223,8.454908240263366,23.06983643745021,0.978316305485274,-0.20711640790059177,0.20711640790059174,0.9783163054852739,69.87252364990991,20.12747635009009,11.070364804006854,7.02581464852726,35.29843388667743,100.0,100,90.26914878923118,50.92458675747854,0.5,2.8,20,15,12,13.5
14,-3.2384467124939,21.9927749633789,347.1773853302,0.0617378503084183,46.650764465332,8.690314772024442,23.310643354273207,0.9750618330582345,-0.22193337223841653,0.22193337223841653,0.9750618330582344,69.55431409333946,20.445685906660543,11.377854900030837,7.136890737996571,35.05667785716883,100.0,100,90.09664978072806,50.13006164794726,0.5,2.8,20,15,12,13.5
15,-3.87944579124451,24.8343868255615,347.052250862122,-0.96363240480423,49.7092819213867,8.415206569153797,23.58912190250675,0.9745748036081654,-0.22406238455418123,0.22406238455418123,0.9745748036081655,70.36659944448479,19.63340055551521,11.545206601919915,6.853349661132483,35.683918010188165,100.0,100,90.55721507154728,52.178456969205385,0.5,2.8,20,15,12,13.5
16,-4.52945137023926,27.6656627655029,346.929048538208,-2.27921295166016,52.5831451416016,7.827211449097801,23.762980912224606,0.9740907526414921,-0.2261574796869022,0.2261574796869022,0.9740907526414921,71.76880100499201,18.231198995007986,11.51888288680449,6.363888980983412,36.850754462838424,100.0,100,91.5203980724304,55.8826197789233,0.5,2.8,20,15,12,13.5
17,-5.22653532028198,30.6525058746338,346.468084335327,-4.36276912689209,55.8029975891113,6.724675167358799,24.250197306627268,0.9722397326758021,-0.2339869701639062,0.2339869701639062,0.9722397326758021,74.50109642350291,15.498903576497085,11.66531989697021,5.410137957179979,39.49720024600947,100.0,100,94.14278677212288,63.846014211915005,0.5,2.8,20,15,12,13.5
18,-5.95057439804077,33.6271591186523,345.354873657227,-6.37617063522339,58.08251953125,5.771315494913598,23.76841817465615,0.9675103397098769,-0.25283145088077724,0.25283145088077724,0.9675103397098767,76.35189052543764,13.64810947456236,10.959063454416128,4.764088940074929,41.65188525624729,100.0,100,96.64321954470438,69.96432148028478,0.5,2.8,20,15,12,13.5
19,-6.75001764297485,36.6427841186523,343.507699966431,-8.64487266540527,60.03857421875,4.824851954190291,22.971161781329332,0.9588578949655051,-0.2838864865792673,0.28388648657926724,0.9588578949655051,78.1380518245789,11.861948175421105,9.97239804459398,4.140601027240644,44.105530554449054,100.0,100,99.80474398517191,76.6173782326243,0.5,2.8,20,15,12,13.5
