time,delta_time,follower_world_cs_x,follower_world_cs_z,follower_compass_heading,leader_world_cs_x,leader_world_cs_z,leader_follower_cs_x,leader_follower_cs_z,follower_FT_R11,follower_FT_R21,follower_FT_R12,follower_FT_R22,x_relative_error_heading,compass_relative_error_heading,linear_distance_error,omega,v,v_without_angle_error,v_max,left_wheel_velocity,right_wheel_velocity,follower_wheel_radius,follower_axle_length,proportional_gain,integral_gain,derivative_gain,logistic_function_mid,logistic_function_growth_rate,max_follower_distance,min_follower_distance,optimal_follower_distance
0,1,1.00003349781036,0.928261876106262,0.0395646803081036,0.0,0.0,-0.999392263105149,-0.9289522118067804,0.9999997615814491,0.0006905338839966712,-0.0006905338839966712,0.9999997615814491,-137.09201417387158,-132.90798582612842,-12.135545124463569,-72.37407699162878,1.2425216099156903e-42,1.0643274821071399e-41,100,-100,100,0.5,2.8,30,1,0.2,2,7,15,12,13.5
1,1,0.977153301239014,0.92606121301651,353.510880470276,1.00129318237305,15.0060739517212,1.615231280885442,13.987078657289258,0.9935933350550986,-0.11301453240219372,0.11301453240219372,0.9935933350550986,83.41264817621446,6.587351823785539,0.5800334323448073,1.7313489594561857,0.002917460272759833,0.004821626281513544,100,4.853612007022839,-4.841942165931799,0.5,2.8,30,1,0.2,2,7,15,12,13.5
2,1,0.950851857662201,0.919796288013458,346.07211971283,1.00784862041473,15.4169015884399,3.544779599579923,14.057163594161473,0.9705994710186553,-0.24070036738299047,0.24070036738299047,0.9705994710186552,75.84685700984333,14.153142990156667,0.997217344118722,5.479285901924176,0.03510163918445734,0.08934926198755126,100,15.412203803756608,-15.271797247018778,0.5,2.8,30,1,0.2,2,7,15,12,13.5
3,1,0.955444991588593,0.919970870018005,348.169966697693,1.02655625343323,16.0755825042725,3.176639564856427,14.819128918222557,0.9787600615449003,-0.2050091264422711,0.2050091264422711,0.9787600615449001,77.90113259331126,12.09886740668874,1.6557784630124264,4.581254425878571,3.489880131387027,8.24472967249961,100,19.80727265523405,-5.847752129685944,0.5,2.8,30,1,0.2,2,7,15,12,13.5
4,1,0.954253852367401,0.971046507358551,350.456592559814,1.05635893344879,17.0244941711426,2.762269656066686,15.81434392216792,0.9861602779837494,-0.16579477110878343,0.16579477110878343,0.9861602779837496,80.09217792128943,9.907822078710566,2.5537723710483746,3.606472475372352,45.64644266128618,97.9695645702091,100,100,81.19476239152978,0.5,2.8,30,1,0.2,2,7,15,12,13.5
5,1,0.863513052463531,1.44469749927521,348.618064880371,1.09853386878967,18.3600883483887,3.5686217052989995,16.536342445862925,0.980333445604183,-0.19734825925209049,0.19734825925209049,0.9803334456041831,77.82205403922964,12.177945960770359,3.4170234486560602,5.023224231861454,40.74404172261083,99.9950780140211,100,95.55311129443373,67.42305559600959,0.5,2.8,30,1,0.2,2,7,15,12,13.5
6,1,0.604521930217743,2.57046484947205,345.680956840515,1.15007412433624,20.0096187591553,4.8416739915704845,16.76245534644248,0.9689335838536158,-0.247321066794942,0.24732106679494203,0.9689335838536158,73.88914700410109,16.11085299589891,3.9476851267475617,7.369481178233476,34.56608635930211,99.99988007294806,100,89.76672001765796,48.49762541955049,0.5,2.8,30,1,0.2,2,7,15,12,13.5
7,1,0.201889172196388,4.0966854095459,344.505659103394,1.22489011287689,22.4619312286377,5.891972339478929,17.424507076847746,0.963656843639141,-0.2671431970076132,0.26714319700761324,0.9636568436391408,71.31740196115426,18.68259803884574,4.893715908437368,9.03736523079261,31.563861984435118,99.99999984043926,100,88.43234661508954,37.82310132265093,0.5,2.8,30,1,0.2,2,7,15,12,13.5
8,1,-0.299286723136902,5.93271732330322,345.177799224854,1.29996764659882,24.7383575439453,6.356903775165469,17.770748240877108,0.9667243367688162,-0.2558203602117947,0.2558203602117947,0.9667243367688162,70.31699218099348,19.68300781900652,5.373518978911957,9.899226865121149,30.290200897165217,99.99999999444998,100,88.29823701666965,32.86256657199122,0.5,2.8,30,1,0.2,2,7,15,12,13.5
9,1,-0.809717178344727,7.93206262588501,347.103869438171,1.3874146938324,27.1258792877197,6.425470267676084,18.219311687082755,0.9747762690390518,-0.22318428555412717,0.22318428555412714,0.9747762690390518,70.57359904438911,19.426400955610887,5.8191611233992155,10.099534668288571,30.015640420377732,99.99999999975479,100,88.30997791196346,31.752583769547467,0.5,2.8,30,1,0.2,2,7,15,12,13.5
