time,follower_world_cs_x,follower_world_cs_z,follower_compass_heading,leader_world_cs_x,leader_world_cs_z,leader_follower_cs_x,leader_follower_cs_z,follower_FT_R11,follower_FT_R21,follower_FT_R12,follower_FT_R22,x_relative_error_heading,compass_relative_error_heading,linear_distance_error,omega,v,v_without_angle_error,v_max,left_wheel_velocity,right_wheel_velocity,follower_wheel_radius,follower_axle_length,proportional_gain,logistic_function_mid,logistic_function_growth_rate,max_follower_distance,min_follower_distance,optimal_follower_distance
19,-2.08413434028625,42.4099807739258,341.190452575684,-6.74913311004639,55.8981285095215,-0.06697213950815151,14.2719255039973,0.946595546554751,-0.32242343469839835,0.3224234346983984,0.9465955465547509,90.2688630046795,-0.26886300467950264,0.7720826391637363,-0.09385089336924486,13.293552801545559,13.903371516028184,100,26.32432310165723,26.849888104525004,0.5,2.8,20,1,8,15,12,13.5
20,-3.0452036857605,45.2987976074219,341.105373382568,-8.07241725921631,58.183765411377,-0.5838036107686388,13.818626739519068,0.9461157326847263,-0.32382868984455915,0.32382868984455915,0.9461157326847263,92.4191697201547,-2.4191697201546987,0.33095338803865104,-0.8444495356249864,0.34714286726395543,0.4714565077868151,100,-1.6701729652220507,3.0587444342778722,0.5,2.8,20,1,8,15,12,13.5
21,-3.97632765769959,47.9912719726563,339.316947937012,-9.2767448425293,60.1686019897461,-0.6577874469600893,13.264580820854315,0.9355485468097305,-0.35319812649871385,0.35319812649871385,0.9355485468097305,92.83895863417929,-2.838958634179292,-0.21911943136471201,-0.9909835098869975,0.004118946891176406,0.005811925301183337,100,-2.76651593390124,2.7829917214659456,0.5,2.8,20,1,8,15,12,13.5
22,-4.78294897079468,50.1147994995117,337.374141693115,-10.2625360488892,62.1911773681641,-0.4119331391077887,13.255002378792796,0.923036685778747,-0.38471193990645325,0.38471193990645325,0.923036685778747,91.78004014196621,-1.780040141966211,-0.23859822745355785,-0.6213512258995534,0.0039057895992662037,0.004973331367294712,100,-1.7319718533202169,1.7475950117172818,0.5,2.8,20,1,8,15,12,13.5
23,-5.50233173370361,51.8314361572266,336.066110610962,-11.0420331954956,64.1870956420898,-0.05089347507831565,13.54060646521657,0.9140141616011127,-0.4056822801067543,0.4056822801067543,0.9140141616011126,90.21534985179984,-0.2153498517998429,0.04070210851971723,-0.0751712791517819,0.04478341521522304,0.04643613204014894,100,-0.12091275119454323,0.30004641205543536,0.5,2.8,20,1,8,15,12,13.5
24,-6.09798383712769,53.1738700866699,335.71753692627,-11.9585046768188,67.0992050170898,0.38455458847212576,15.103402769088543,0.9115291890650677,-0.41123537965790347,0.41123537965790347,0.9115291890650677,88.54148129415509,1.4585187058449094,1.6082976353004916,0.5091190723784066,80.78048882757773,99.23576701226553,100,100,100,0.5,2.8,20,1,8,15,12,13.5
25,-6.78546047210693,54.6980018615723,335.687614440918,-12.7757539749146,69.7901000976563,0.754548256490267,16.21991684152595,0.9113142987824918,-0.4117113659283346,0.4117113659283346,0.9113142987824918,87.33652860285525,2.663471397144747,2.7374580959394557,0.9297269082573866,71.98660207454913,99.99990807113632,100,100,100,0.5,2.8,20,1,8,15,12,13.5
26,-7.66218185424805,56.6388549804688,335.688411712646,-13.6458692550659,72.5639877319336,1.1033020435394265,16.97636865360801,0.9113200276647904,-0.4116986849348024,0.4116986849348024,0.9113200276647904,86.28155020955276,3.718449790447238,3.512182930549592,1.2979838382679498,65.96696661480266,99.99999981302543,100,100,100,0.5,2.8,20,1,8,15,12,13.5
27,-8.72963523864746,59.0020027160645,335.692825317383,-14.6122617721558,75.1802291870117,1.298276898705777,17.165511462589166,0.9113517389070589,-0.4116284829686596,0.4116284829686596,0.9113517389070588,85.67479041791563,4.325209582084369,3.714537655074942,1.5097829609236038,63.122169424549725,99.99999996295494,100,100,100,0.5,2.8,20,1,8,15,12,13.5
28,-9.93884944915771,61.6795539855957,335.69779586792,-15.7357149124146,77.6317596435547,1.2819305716224578,16.924336576730543,0.9113874452662533,-0.4115494194031288,0.4115494194031288,0.9113874452662531,85.66841355973625,4.331586440263749,3.4728169304013754,1.5120089043468619,63.094196153336554,99.99999974381481,100,100,100,0.5,2.8,20,1,8,15,12,13.5
