time,follower_world_cs_x,follower_world_cs_z,follower_compass_heading,leader_world_cs_x,leader_world_cs_z,leader_follower_cs_x,leader_follower_cs_z,follower_FT_R11,follower_FT_R21,follower_FT_R12,follower_FT_R22,x_relative_error_heading,compass_relative_error_heading,omega,v,v_max,left_wheel_velocity,right_wheel_velocity,follower_wheel_radius,follower_axle_length
0,1.00003349781036,0.928261876106262,0.0395646803081036,0.0,0.0,-0.999392263105149,-0.9289522118067804,0.9999997615814491,0.0006905338839966712,-0.0006905338839966712,0.9999997615814491,-137.09201417387158,-132.90798582612842,-23.196819548598967,5.082306654657351,25,-54.78648142676241,75.11570804539181,0.5,2.8
1,0.96881628036499,0.894794106483459,351.864646911621,0.990211129188538,15.1975336074829,2.045189918670401,14.155776671365468,0.9899365292833765,-0.1415120771891316,0.14151207718913164,0.9899365292833764,81.77894069942847,8.221059300571525,1.4348455279667527,16.02154159979355,25,36.06065067789401,28.025515721280193,0.5,2.8
2,0.926397681236267,1.07593667507172,349.84278011322,0.95131117105484,15.9056167602539,2.6397347092806402,14.59286924410148,0.9843275546160146,-0.17634983760598408,0.17634983760598405,0.9843275546160145,79.74652473424645,10.25347526575355,1.7895690315920003,14.968264613038416,25,34.947322514534434,24.92573593761923,0.5,2.8
3,0.797485589981079,1.80763626098633,350.318015098572,0.852523744106293,16.9684200286865,2.6039863912878616,14.935583300405714,0.9857563972638181,-0.16817944361145154,0.1681794436114515,0.9857563972638183,80.11001529204434,9.889984707955662,1.7261279612571614,15.141429892992308,25,35.11601807750467,25.449701494464563,0.5,2.8
4,0.635648727416992,2.81723070144653,351.655291557312,0.662503361701965,18.3127613067627,2.275410231828259,15.327579658529391,0.9894128453086033,-0.14512829337635688,0.14512829337635688,0.9894128453086033,81.55599481790726,8.444005182092738,1.4737569248298161,15.895035316784575,25,35.91659002309264,27.663551244045667,0.5,2.8
5,0.465364068746567,4.08086061477661,353.313258171082,0.31572350859642,20.3065967559814,1.7407169233782684,16.13278680866718,0.9931976204097439,-0.11644091554270088,0.11644091554270086,0.9931976204097439,83.84164895737575,6.158351042624248,1.0748350218741878,17.35594334032781,25,37.72142474190334,31.702348619407893,0.5,2.8
6,0.301956623792648,5.58410358428955,354.735301494598,0.143819391727448,22.0761032104492,1.3557875581173477,16.43693703676781,0.9957814212277504,-0.09175707677144997,0.09175707677144997,0.9957814212277502,85.28467807196238,4.715321928037625,0.8229789293574368,18.516085784759504,25,39.33651257171983,34.727830567318186,0.5,2.8
7,0.15433157980442,7.28196430206299,355.798675537109,0.173590391874313,23.9699878692627,1.241792547189983,16.641768318030344,0.9973127839663805,-0.07326125126714605,0.07326125126714605,0.9973127839663803,85.73255337736201,4.267446622637991,0.7448099421814491,18.92630981639591,25,39.93808747089988,35.76715179468376,0.5,2.8
8,0.0179816074669361,9.25747013092041,356.812605381012,0.442942947149277,25.9384231567383,1.351795636012514,16.631519309678993,0.9984530210510822,-0.05560184128216437,0.05560184128216436,0.9984530210510824,85.35326275882402,4.646737241175984,0.8110086433355874,18.57717820389734,25,39.42518060913432,34.88353220645504,0.5,2.8
9,-0.0908503457903862,11.365180015564,357.827592372894,0.973024725914001,27.9292488098145,1.690997680850621,16.511836119348295,0.9992812872517493,-0.0379065818623476,0.0379065818623476,0.9992812872517494,84.15265351738184,5.847346482618164,1.0205544862659635,17.587524912346726,25,38.03260238623815,32.31749726314875,0.5,2.8
