time,follower_world_cs_x,follower_world_cs_z,follower_compass_heading,leader_world_cs_x,leader_world_cs_z,leader_follower_cs_x,leader_follower_cs_z,follower_FT_R11,follower_FT_R21,follower_FT_R12,follower_FT_R22,x_relative_error_heading,compass_relative_error_heading,linear_distance_error,omega,v,v_without_angle_error,v_max,left_wheel_velocity,right_wheel_velocity,follower_wheel_radius,follower_axle_length,proportional_gain,logistic_function_mid,logistic_function_growth_rate,max_follower_distance,min_follower_distance,optimal_follower_distance
0,1.00003349781036,0.928261876106262,0.0395646803081036,0.0,0.0,-0.999392263105149,-0.9289522118067804,0.9999997615814491,0.0006905338839966712,-0.0006905338839966712,0.9999997615814491,-137.09201417387158,-132.90798582612842,-12.135545124463569,-46.39363909719793,1.6954173416598198e-39,1.1671768083053615e-38,100,-100,100,0.5,2.8,20,1,7,15,12,13.5
1,0.978174686431885,0.926359057426453,354.057856082916,0.988539695739746,15.2010812759399,1.4880879826912723,14.196950236051027,0.9946269389779687,-0.10352416268348306,0.10352416268348306,0.9946269389779687,84.0162530888616,5.983746911138397,0.774725981578051,2.0887217041081114,9.743086005892513,17.123239304422103,100,25.33459278328774,13.637751240282315,0.5,2.8,20,1,7,15,12,13.5
2,0.94988888502121,0.949547290802002,348.071290016174,0.942722022533417,15.9182682037354,3.0869398041457146,14.646960769346942,0.9784055366960288,-0.20669447443643957,0.20669447443643957,0.9784055366960287,78.0987226167223,11.901277383277701,1.4687226286416166,4.154329510626621,42.45108363957778,96.37732551537029,100,96.5342899089101,73.27004464940103,0.5,2.8,20,1,7,15,12,13.5
3,0.852204442024231,1.45167934894562,349.458180427551,0.823120832443237,17.1379432678223,2.8412585766615286,15.426826351830957,0.983121633919443,-0.18295314405487736,0.18295314405487736,0.9831216339194431,79.56441134277551,10.435588657224486,2.186290880542753,3.642707629046824,46.39881093149285,99.97525454548956,100,100,82.59804050165458,0.5,2.8,20,1,7,15,12,13.5
4,0.669930875301361,2.54678893089294,351.234892845154,0.606315433979034,18.2913017272949,2.3363390511827022,15.570332365057544,0.9883213658006896,-0.15238398177584014,0.15238398177584014,0.9883213658006896,81.46639422674858,8.533605773251423,2.244641314442184,2.97879035620868,50.124843330445,99.98355088363786,100,100,91.90907366350571,0.5,2.8,20,1,7,15,12,13.5
5,0.440210461616516,4.03969764709473,351.379302024841,0.26880669593811,19.7394161224365,2.1838030649296605,15.548039864544991,0.9887022972157481,-0.14989251976100176,0.14989251976100174,0.9887022972157482,82.00481147056908,7.995188529430919,2.200654109172536,2.790847283125062,51.349314932293005,99.97762100298503,100,100,94.88425747183584,0.5,2.8,20,1,7,15,12,13.5
6,0.161384701728821,5.87824964523315,351.387690544128,-0.22788704931736,21.6445808410645,1.976090444797593,15.646846277342505,0.9887242319754567,-0.14974776494005887,0.14974776494005884,0.9887242319754568,82.80203974853087,7.1979602514691265,2.2711360362152515,2.5125621163163054,53.34928989723495,99.98633501731464,100,100,99.66340586878424,0.5,2.8,20,1,7,15,12,13.5
7,-0.149839490652084,7.9339075088501,351.388580322266,-0.538446724414825,23.1800384521484,1.8986136440969292,15.13244165866102,0.9887265573728518,-0.14973241047157693,0.14973241047157693,0.9887265573728518,82.84867104842645,7.1513289515735465,1.7510827262306385,2.4962847219630504,53.20356229236414,99.48190843233078,100,100,99.41752736323174,0.5,2.8,20,1,7,15,12,13.5
8,-0.491575062274933,10.1917152404785,351.388785362244,-0.728811264038086,24.7352867126465,1.9430306939896698,14.415144255389883,0.9887270932023259,-0.1497288721913023,0.1497288721913023,0.9887270932023259,82.32331700258302,7.676682997416975,1.0455062538739384,2.6796678787358714,30.182224061677353,57.896931853622945,100,67.86751818381515,52.86137806289427,0.5,2.8,20,1,7,15,12,13.5
9,-0.85811573266983,12.6136331558228,351.388899803162,-0.798312425613403,26.2958183288574,2.107720302574705,13.518997102997584,0.9887273922644336,-0.14972689733635972,0.14972689733635972,0.9887273922644335,81.13846792904201,8.861532070957992,0.18231586920659915,3.093258228185775,0.16096773235500197,0.3256667331767482,100,8.983058503630172,-8.339187574210165,0.5,2.8,20,1,7,15,12,13.5
