time,delta_time,follower_world_cs_x,follower_world_cs_z,follower_compass_heading,leader_world_cs_x,leader_world_cs_z,leader_follower_cs_x,leader_follower_cs_z,follower_FT_R11,follower_FT_R21,follower_FT_R12,follower_FT_R22,x_relative_error_heading,compass_relative_error_heading,linear_distance_error,omega,v,v_without_angle_error,v_max,left_wheel_velocity,right_wheel_velocity,follower_wheel_radius,follower_axle_length,proportional_gain,integral_gain,derivative_gain,logistic_function_mid,logistic_function_growth_rate,lin_val_err_deriv_coeff,max_follower_distance,min_follower_distance,optimal_follower_distance
0,0.1,1.00003349781036,0.928261876106262,0.0395646803081036,0.0,0.0,-0.999392263105149,-0.9289522118067804,0.9999997615814491,0.0006905338839966712,-0.0006905338839966712,0.9999997615814491,-137.09201417387158,-132.90798582612842,-12.135545124463569,-698.3402525105719,-14.901332053364387,-394.066353733907,100,-100,100,0.5,2.8,30,0.5,0.1,1,10,3,15,12,13.5
0.1,0.1,0.999217689037323,0.928288340568542,359.68909573555,1.00000369548798,14.9375247955322,0.07680398465017364,14.009025941043534,0.999985277653604,-0.005426276443813013,0.005426276443813012,0.9999852776536039,89.68588108124744,0.3141189187525555,0.509236477013614,3.8541771994716862,172.50981157702813,380.07702129980765,100,100,100,0.5,2.8,30,0.5,0.1,1,10,3,15,12,13.5
0.2,0.1,0.996476650238037,0.928970456123352,358.926256775856,1.00000369548798,14.9375247955322,0.2660363351746201,14.00602840881688,0.9998244046942575,-0.01873925766335313,0.018739257663353135,0.9998244046942575,88.91183096161373,1.088169038386269,0.5085547834249713,5.596389113946014,0.2836405643032148,0.7284864427324322,100,16.237170647655265,-15.102608390442407,0.5,2.8,30,0.5,0.1,1,10,3,15,12,13.5
0.30000000000000004,0.1,0.994678616523743,0.941918075084686,358.569192051888,0.999941110610962,14.9673137664795,0.35547097546693535,14.020891283354308,0.9996882080788804,-0.024969714216171935,0.024969714216171935,0.9996882080788804,88.54769399982625,1.4523060001737491,0.5253966786697397,7.497118829186915,0.32433400971195747,0.9454277318072537,100,21.640600741147278,-20.343264702299447,0.5,2.8,30,0.5,0.1,1,10,3,15,12,13.5
0.4,0.1,0.993145525455475,0.967194259166718,358.423557162285,0.999941110610962,14.9673137664795,0.3919453536705051,13.99463365861192,0.9996215105338048,-0.02751064663206887,0.02751064663206887,0.9996215105338049,88.39574609124743,1.6042539087525682,0.5001211565835195,8.290412796074941,0.15827173674603365,0.4824150782891349,100,23.5296993025019,-22.896612355517764,0.5,2.8,30,0.5,0.1,1,10,3,15,12,13.5
0.5,0.1,0.992732048034668,1.00391793251038,358.718389034271,0.999874174594879,15.0212078094482,0.3206575748702859,14.013623557943664,0.9997498393130685,-0.02236646582483685,0.02236646582483685,0.9997498393130686,88.68919553989166,1.3108044601083435,0.5172916964752954,6.7472853182945345,0.31695452617750935,0.8822095063016653,100,19.526307943579713,-18.258489838869675,0.5,2.8,30,0.5,0.1,1,10,3,15,12,13.5
0.6,0.1,0.993538022041321,1.02952122688293,359.171965301037,0.999798476696014,15.0639801025391,0.2090777834511405,14.032902821805756,0.9998955726509313,-0.014451428755185868,0.014451428755185868,0.9998955726509313,89.14640695148229,0.8535930485177091,0.5344602719797074,4.3512186803257675,0.4450944309850911,1.0296236508779413,100,13.07360116688233,-11.293223442941965,0.5,2.8,30,0.5,0.1,1,10,3,15,12,13.5
0.7,0.1,0.994499564170837,1.05494332313538,359.543287962675,0.999798476696014,15.0639801025391,0.11696539796430587,14.00854948454119,0.9999682307211639,-0.007971044372296336,0.007971044372296336,0.999968230721164,89.52161585816107,0.47838414183893,0.5090377815594493,2.3884781216437325,0.2946078043642213,0.5423087233371462,100,7.276954349330893,-6.098523131874009,0.5,2.8,30,0.5,0.1,1,10,3,15,12,13.5
0.7999999999999999,0.1,0.995258688926697,1.07992851734161,359.901088282466,0.99972665309906,15.1388931274414,0.02873843009450761,14.058935947410026,0.9999985098838627,-0.001726334282290928,0.001726334282290928,0.9999985098838626,89.88287958157134,0.11712041842865517,0.5589653200632849,0.4972512853956825,1.5460869669003985,1.8918263339743953,100,4.484477532908707,1.699870334692886,0.5,2.8,30,0.5,0.1,1,10,3,15,12,13.5
0.8999999999999999,0.1,0.995767891407013,1.10460090637207,0.115349903702736,0.99972665309906,15.1388931274414,-0.024295564125508384,14.034271749674975,0.999997973441871,0.0020132342514912935,-0.0020132342514912935,0.9999979734418709,90.09918803907405,-0.0991880390740505,0.5342927794086307,-0.632893760838882,0.5959161718631452,0.7614898802704433,100,-0.5802701866225792,2.96393487407516,0.5,2.8,30,0.5,0.1,1,10,3,15,12,13.5
0.9999999999999999,0.1,0.995951533317566,1.1256777048111,0.173589408397675,0.999646127223969,15.2211894989014,-0.03901062456585752,14.095458295441615,0.9999954104420966,0.0030297020881222925,-0.0030297020881222925,0.9999954104420966,90.15857153348145,-0.15857153348144948,0.5955122782878259,-0.9412245329468829,1.9545389122155492,2.7232167312410267,100,1.2736491321798264,6.54450651668237,0.5,2.8,30,0.5,0.1,1,10,3,15,12,13.5
1.0999999999999999,0.1,0.995936393737793,1.15015065670013,0.171320170164108,0.999646127223969,15.2211894989014,-0.0383640483411434,14.070987032211146,0.9999955296512026,0.0029900965888411085,-0.0029900965888411085,0.9999955296512028,90.15621452875872,-0.1562145287587242,0.5710393312242346,-0.9279420329795687,0.8471813501789226,1.1763142892201304,100,-0.9038749919849469,4.2926003927006375,0.5,2.8,30,0.5,0.1,1,10,3,15,12,13.5
1.2,0.1,0.99578195810318,1.17483139038086,0.117033928632736,0.999568641185761,15.3238544464111,-0.025114486772290927,14.149001273644664,0.9999979138373957,0.002042625970767485,-0.002042625970767485,0.9999979138373958,90.10169994034632,-0.1016999403463217,0.649023562742558,-0.6416827439049139,3.4577728180445217,4.430380965903899,100,5.118833953155285,8.712257319022802,0.5,2.8,30,0.5,0.1,1,10,3,15,12,13.5
1.3,0.1,0.995551764965057,1.20322966575623,0.0906540900468826,0.999473571777344,15.4398527145386,-0.018603549532844557,14.236611433962606,0.9999987483022983,0.0015822116915669455,-0.0015822116915669455,0.9999987483022981,90.0748706439336,-0.07487064393359333,0.7366235889585173,-0.5017534128484867,6.9776771499666275,8.550867660106727,100,12.550444743957492,15.360263855909018,0.5,2.8,30,0.5,0.1,1,10,3,15,12,13.5
1.4000000000000001,0.1,0.995358645915985,1.23039150238037,359.860117688775,0.999473571777344,15.4398527145386,0.038805955729733284,14.209408818464054,0.999997019767664,-0.002441404470855395,0.002441404470855395,0.999997019767664,89.84352537223646,0.1564746277635436,0.7094618079800661,0.7132736241764358,3.7991404106382007,4.972773852639797,100,9.595446968970421,5.601114673582382,0.5,2.8,30,0.5,0.1,1,10,3,15,12,13.5
1.5000000000000002,0.1,0.995244801044464,1.26015496253967,359.850646555424,0.999394655227661,15.5478982925415,0.04139379213519521,14.287683970443712,0.9999966025350878,-0.0026067064049769286,0.002606706404976929,0.9999966025350877,89.83400508041193,0.16599491958807278,0.7877439326613622,0.7593950372355279,9.2195284113933,12.228984324552489,100,20.565362927046078,16.312750718527123,0.5,2.8,30,0.5,0.1,1,10,3,15,12,13.5
