time,delta_time,follower_world_cs_x,follower_world_cs_z,follower_compass_heading,leader_world_cs_x,leader_world_cs_z,leader_follower_cs_x,leader_follower_cs_z,follower_FT_R11,follower_FT_R21,follower_FT_R12,follower_FT_R22,x_relative_error_heading,compass_relative_error_heading,linear_distance_error,omega,v,v_without_angle_error,v_max,left_wheel_velocity,right_wheel_velocity,follower_wheel_radius,follower_axle_length,proportional_gain,integral_gain,derivative_gain,logistic_function_mid,logistic_function_growth_rate,max_follower_distance,min_follower_distance,optimal_follower_distance
0,1,1.00003349781036,0.928261876106262,0.0395646803081036,0.0,0.0,-0.999392263105149,-0.9289522118067804,0.9999997615814491,0.0006905338839966712,-0.0006905338839966712,0.9999997615814491,-137.09201417387158,-132.90798582612842,-12.135545124463569,-72.37407699162878,1.3625903974974564e-39,1.1671768083053615e-38,100,-100,100,0.5,2.8,30,1,0.2,1,7,15,12,13.5
1,1,0.977640926837921,0.926856875419617,353.784131526947,0.977331638336182,15.1817321777344,1.5431347160498508,14.171104587445718,0.9941210146558273,-0.10827468873041551,0.10827468873041553,0.9941210146558273,83.78537467537329,6.214625324626709,0.7548753056701045,1.5283834553198774,9.58459033163842,15.240352943962119,100,23.448654338172496,14.889706988381185,0.5,2.8,30,1,0.2,1,7,15,12,13.5
2,1,0.949934303760529,0.941288828849792,347.621842384338,0.893518090248108,15.8453779220581,3.1397802319807515,14.569723215706633,0.9767540690908723,-0.21436298307875756,0.2143629830787576,0.9767540690908721,77.83872215953845,12.161277840461551,1.404195868527692,4.389425978549598,40.673569537793334,94.42424995464089,100,93.63753181552553,69.0567463356478,0.5,2.8,30,1,0.2,1,7,15,12,13.5
3,1,0.85078889131546,1.42565333843231,348.881017684937,0.675000846385956,16.8057880401611,2.793525493879404,15.125331738349018,0.9812288268610915,-0.19284706203830543,0.1928470620383054,0.9812288268610916,79.53585424604137,10.464145753958633,1.8811392581974324,3.6567616511184373,46.2433080200143,99.79089063876981,100,100,82.24768341689696,0.5,2.8,30,1,0.2,1,7,15,12,13.5
4,1,0.660919010639191,2.50280141830444,350.747934341431,0.267039090394974,18.0124435424805,2.1048557886370802,15.371197816716467,0.9869905707404925,-0.16077814922854713,0.16077814922854713,0.9869905707404925,82.20269436182048,7.797305638179523,2.0146427677722603,2.393111168371842,54.24299472565401,99.91776315942566,100,100,100,0.5,2.8,30,1,0.2,1,7,15,12,13.5
5,1,0.420130997896194,3.98366808891296,350.910873413086,-0.340918779373169,19.3743743896484,1.6797863933573995,15.317681119270977,0.987443803711024,-0.15797067611650215,0.15797067611650215,0.9874438037110239,83.74176700183395,6.258232998166052,1.909511257628493,1.7004180408087033,60.74898278134717,99.8284919663755,100,100,100,0.5,2.8,30,1,0.2,1,7,15,12,13.5
6,1,0.127565994858742,5.81158828735352,350.920758247375,-1.21653032302856,21.1300735473633,1.0900056390757058,15.338659435546454,0.9874710425755217,-0.15780031709350983,0.15780031709350983,0.9874710425755217,85.9352436394465,4.064756360553503,1.877340003163587,0.6205754399550765,78.38478959628087,99.78526691255746,100,100,100,0.5,2.8,30,1,0.2,1,7,15,12,13.5
7,1,-0.199375286698341,7.85805034637451,350.921753883362,-1.9699501991272,22.6227703094482,0.5812278281596923,14.859140800203823,0.9874737845424435,-0.15778315766083428,0.15778315766083428,0.9874737845424435,87.75996923403923,2.2400307659607677,1.3705040636996983,-0.2944655510003997,81.7795945222261,93.0443918315786,100,100,100,0.5,2.8,30,1,0.2,1,7,15,12,13.5
8,1,-0.565850615501404,10.1526374816895,350.921992301941,-2.75662803649902,24.177001953125,0.04941417406871773,14.194360245372682,0.9874744410994661,-0.15777904859421957,0.1577790485942196,0.9874744410994661,89.80053964137296,0.19946035862703582,0.6944462567588499,-1.3601779183483496,6.85908821604748,10.537528442086577,100,9.909678260719582,17.52667460347034,0.5,2.8,30,1,0.2,1,7,15,12,13.5
9,1,-0.951898872852325,12.5700016021729,350.922100067139,-3.65556764602661,25.8559474945068,-0.5735853864515978,13.546113202447078,0.9874747378576303,-0.15777719129520737,0.15777719129520737,0.9874747378576304,92.42463659702001,-2.424636597020012,0.05825147609608905,-2.7785066550668907,0.07043225579624678,0.1369089040259047,100,-7.6389541225948,7.920683145779787,0.5,2.8,30,1,0.2,1,7,15,12,13.5
