time,delta_time,follower_world_cs_x,follower_world_cs_z,follower_compass_heading,leader_world_cs_x,leader_world_cs_z,leader_follower_cs_x,leader_follower_cs_z,follower_FT_R11,follower_FT_R21,follower_FT_R12,follower_FT_R22,x_relative_error_heading,compass_relative_error_heading,linear_distance_error,omega,v,v_without_angle_error,v_max,left_wheel_velocity,right_wheel_velocity,follower_wheel_radius,follower_axle_length,proportional_gain,integral_gain,derivative_gain,logistic_function_mid,logistic_function_growth_rate,max_follower_distance,min_follower_distance,optimal_follower_distance
0,1,1.00003349781036,0.928261876106262,0.0395646803081036,0.0,0.0,-0.999392263105149,-0.9289522118067804,0.9999997615814491,0.0006905338839966712,-0.0006905338839966712,0.9999997615814491,-137.09201417387158,-132.90798582612842,-12.135545124463569,-69.5904586457969,-1.5634179679211417,-13.135545124361219,100,-100,100,0.5,2.8,30,0,0,1,8,15,12,13.5
1,1,0.977680683135986,0.925643861293793,353.784194946289,0.999742865562439,15.2886667251587,1.5770685070098742,14.276195832643833,0.9941211345019082,-0.10827358836133144,0.10827358836133144,0.9941211345019081,83.69618638724761,6.303813612752393,0.8630398080559374,3.300669089237042,18.34963670661464,38.05357680584322,100,45.941146863092996,27.45739996336556,0.5,2.8,30,0,0,1,8,15,12,13.5
2,1,0.94691413640976,0.986045122146606,349.130610466003,0.999088168144226,16.2380294799805,2.9273169193133626,14.96851911964236,0.9820595974396343,-0.18857080123047507,0.18857080123047507,0.9820595974396343,78.93461366400295,11.065386335997047,1.752073596111357,5.7938227370502,38.51485455546794,100.38882423251927,100,93.25241277467644,60.80700544719532,0.5,2.8,30,0,0,1,8,15,12,13.5
3,1,0.842553734779358,1.60785484313965,350.969931602478,0.997750639915466,17.6345977783203,2.668715188616286,15.803750644444357,0.9876061089507955,-0.15695277494542625,0.15695277494542625,0.9876061089507954,80.41511832796168,9.584881672038321,2.5274943515736936,5.01863230773384,40.96685715857554,100.50358503660011,100,95.98588477880584,67.88154385549633,0.5,2.8,30,0,0,1,8,15,12,13.5
4,1,0.677964866161346,2.81496357917786,353.636037349701,0.995247542858124,19.446195602417,2.158797475081231,16.49357876172815,0.9938378332463551,-0.11084385958721431,0.11084385958721431,0.9938378332463551,82.54310849621253,7.4568915037874755,3.1342582313653793,3.9044192611524795,45.303492694605424,100.3287681909474,100,100,79.6746114579839,0.5,2.8,30,0,0,1,8,15,12,13.5
5,1,0.524651765823364,4.50681924819946,356.936309099197,0.991200745105743,21.5749282836914,1.3781045911308345,17.018779090563907,0.9985707402860916,-0.0534460161704033,0.0534460161704033,0.9985707402860916,85.37054497698986,4.629455023010138,3.574484296678218,2.4239769817355024,54.1408484285425,100.18217943574822,100,100,100,0.5,2.8,30,0,0,1,8,15,12,13.5
6,1,0.429248720407486,6.58426523208618,358.408484339714,1.03931772708893,23.8377876281738,1.0890263797889075,17.229922832367365,0.9996142387076694,-0.02777361648914965,0.02777361648914965,0.9996142387076695,86.38340088208794,3.616599117912059,3.7643047721363594,1.893646869968642,58.80738102544009,100.03560517182649,100,100,100,0.5,2.8,30,0,0,1,8,15,12,13.5
7,1,0.366746693849564,8.79353046417236,358.53727042675,1.42235696315765,26.6566772460938,1.5112530152147532,17.83037970199018,0.9996741413637328,-0.025526674062318015,0.025526674062318018,0.9996741413637328,85.15534912799778,4.844650872002219,4.394309877531988,2.5366532647815934,53.36149200917447,100.35157795947137,100,100,99.62035487696048,0.5,2.8,30,0,0,1,8,15,12,13.5
8,1,0.305447041988373,11.2644033432007,358.551656246185,2.0695972442627,28.8582553863525,2.2082830790535364,17.543641055814703,0.999680519088522,-0.025275675162160335,0.025275675162160335,0.9996805190885222,82.8256995654741,7.174300434525905,4.182077243709273,3.756454923292107,45.831654117963126,99.95562162314438,100,100,81.14523445070836,0.5,2.8,30,0,0,1,8,15,12,13.5
9,1,0.243319362401962,13.8292560577393,358.553549051285,2.99012970924377,30.9040241241455,3.1769474799538586,16.99999047978254,0.9996813535421623,-0.02524265002154966,0.02524265002154966,0.9996813535421623,79.41470048172654,10.585299518273459,3.7942959267812384,5.542449867109246,39.039762181103086,99.85673574503866,100,93.59838399011205,62.56066473430028,0.5,2.8,30,0,0,1,8,15,12,13.5
10,1,0.177455693483353,16.5594520568848,358.553955078125,4.09936141967773,32.8567314147949,4.331927791457805,16.193117692541925,0.9996815323992319,-0.025235565773797257,0.025235565773797257,0.9996815323992317,75.02312788234491,14.976872117655093,3.262537367442878,7.841871903096508,33.54303748816893,99.74117886578671,100,89.04331630500808,45.12883364766763,0.5,2.8,30,0,0,1,8,15,12,13.5
11,1,0.110662624239922,19.3304119110107,358.553955078125,5.04606866836548,34.8439140319824,5.325326280359595,15.384013809324795,0.9996815323992319,-0.025235565773797257,0.025235565773797257,0.9996815323992317,70.90620624165662,19.09379375834338,2.7796492860805984,9.997487033395036,30.089244128893522,99.7833332211333,100,88.17145195129314,32.185524564280946,0.5,2.8,30,0,0,1,8,15,12,13.5
12,1,0.0406538546085358,22.23118019104,358.52355492115,5.66894340515137,37.0339164733887,6.007827918996519,14.652803431604417,0.9996680021276556,-0.0257659760556706,0.025765976055670596,0.9996680021276556,67.70577327202395,22.294226727976053,2.3366235261659316,11.67322981767913,28.037871507436147,99.81336481364421,100,88.76078650437387,23.390699525370728,0.5,2.8,30,0,0,1,8,15,12,13.5
13,1,-0.0350039936602116,25.139347076416,358.604924678802,6.04006052017212,39.7374954223633,6.428673976467684,14.445916200843614,0.9997035860795708,-0.024346251860320765,0.024346251860320765,0.9997035860795709,66.01013724746393,23.98986275253607,2.311778646866669,12.561062763999121,27.154288556029005,99.99661335397352,100,89.47955285125555,19.137601372860473,0.5,2.8,30,0,0,1,8,15,12,13.5
14,1,-0.0631087869405746,28.0759906768799,2.3099513053894,6.29726934432983,41.9781303405762,5.794879353472589,14.147200093317325,0.9991874098318472,0.04030533505039118,-0.04030533505039118,0.9991874098318471,67.72534801272161,22.274651987278393,1.78803117480013,11.66298050741718,27.9796393402357,99.56577562407458,100,88.61562410123949,23.302933259703302,0.5,2.8,30,0,0,1,8,15,12,13.5
15,1,0.0864239484071732,30.8787803649902,7.57623863220215,6.59567308425903,44.227725982666,4.692429522917897,14.090627331268921,0.9912703036017186,0.13184530783215762,-0.13184530783215762,0.9912703036017187,71.5813242736234,18.418675726376605,1.3514199124613722,9.643996058472899,28.857896477269342,94.14928444914439,100,84.7189819182628,30.712603990814568,0.5,2.8,30,0,0,1,8,15,12,13.5
16,1,0.467885762453079,33.6093444824219,11.8090419769287,6.94451141357422,46.6017951965332,3.6806366664074814,14.042911703534577,0.9788351045868152,0.20465052657767216,-0.20465052657767216,0.9788351045868152,75.31317915818961,14.68682084181039,1.0172468251859499,7.690001410203497,18.09306883931695,53.33621085579515,100,57.718141627203686,14.65413373006411,0.5,2.8,30,0,0,1,8,15,12,13.5
17,1,1.05700838565826,36.2393455505371,17.8652992248535,7.26721382141113,49.2500991821289,1.9193096159449468,14.2885482892551,0.9517803776603795,0.3067802351858176,-0.3067802351858176,0.9517803776603794,82.34953660005473,7.6504633999452665,0.9168776653002659,4.00577326897094,15.175113829177105,33.952170631263165,100,41.566392811472845,19.134062505235576,0.5,2.8,30,0,0,1,8,15,12,13.5
18,1,1.89623153209686,38.692066192627,24.6564846038818,7.49770832061768,52.9093933105469,-0.8403774994464239,15.257873319984743,0.9088252800573884,0.41717695325677984,-0.41717695325677984,0.9088252800573884,93.15256796889452,-3.152567968894516,1.7809990704233112,-1.6506807285035845,61.673710435101505,100.41042093098177,100,100,100,0.5,2.8,30,0,0,1,8,15,12,13.5
19,1,2.99679946899414,41.2152671813965,22.7864971160889,7.49071455001831,56.010181427002,-1.586860423326855,15.38072281419687,0.9219544517014785,0.3872983204040862,-0.3872983204040861,0.9219544517014785,95.8904806391744,-5.890480639174399,1.962365934431805,-3.0842484503572,49.47530137284835,99.98722718093822,100,90.31470708469654,100,0.5,2.8,30,0,0,1,8,15,12,13.5
20,1,4.07532739639282,43.9208145141602,17.938512802124,7.38692188262939,59.1345252990723,-1.5351550018784175,15.494094133198974,0.9513875914241295,0.3079961864767057,-0.3079961864767057,0.9513875914241294,95.6583987507367,-5.658398750736694,2.069959983513872,-2.962730657732677,50.23073977812945,99.99236762241634,100,92.1658337146074,100,0.5,2.8,30,0,0,1,8,15,12,13.5
21,1,4.99320030212402,46.8471298217773,13.1525754928589,7.47620248794556,61.9790725708008,-1.0253300893044042,15.299989850404689,0.9737675785126757,0.22754494729077163,-0.22754494729077163,0.9737675785126757,93.83394882684773,-3.8339488268477306,1.8343076535759995,-2.007450911444006,57.55929907890786,99.81935756269336,100,100,100,0.5,2.8,30,0,0,1,8,15,12,13.5
22,1,5.69094753265381,49.8778495788574,9.48982620239258,7.8890643119812,64.7303695678711,-0.28073637338459445,15.01167060950482,0.9863148928754264,0.16487247220848084,-0.16487247220848084,0.9863148928754264,91.07137539837943,-1.0713753983794305,1.5142954346719826,-0.5609708467976094,78.67336700891343,98.29357552932358,100,100,100,0.5,2.8,30,0,0,1,8,15,12,13.5
23,1,6.24156761169434,53.0128173828125,8.6711540222168,8.511887550354,67.4264297485352,0.07132857787354974,14.59114410480441,0.9885699148914552,0.15076313664653265,-0.15076313664653265,0.9885699148914553,89.71991271642163,0.2800872835783679,1.0913184480769207,0.14665335874228694,62.87111983012801,67.32359048681211,100,100,100,0.5,2.8,30,0,0,1,8,15,12,13.5
