time,follower_world_cs_x,follower_world_cs_z,follower_compass_heading,leader_world_cs_x,leader_world_cs_z,leader_follower_cs_x,leader_follower_cs_z,follower_FT_R11,follower_FT_R21,follower_FT_R12,follower_FT_R22,x_relative_error_heading,compass_relative_error_heading,omega,v,v_max,left_wheel_velocity,right_wheel_velocity,follower_wheel_radius,follower_axle_length
10,4.75304174423218,11.8208799362183,18.69114112854,2.54614996910095,29.6696472167969,-7.810432505171187,16.200185456517477,0.9472598384741461,0.32046653243971446,-0.32046653243971446,0.9472598384741462,115.73964314032395,-25.73964314032395,-4.4924152108702575,0.0,25,-12.578762590436721,12.578762590436721,0.5,2.8
11,5.58761072158813,14.2893600463867,18.6912269592285,3.18931913375854,32.247371673584,-8.026771349240823,16.24231898005375,0.9472593584052083,0.3204679514612238,-0.3204679514612238,0.9472593584052083,116.29806451567089,-26.298064515670887,-4.589878127003449,0.0,25,-12.851658755609657,12.851658755609657,0.5,2.8
12,6.44348478317261,16.8207912445068,18.6912784576416,3.90900230407715,34.528564453125,-8.075600398725177,15.961626221811112,0.9472590703628251,0.3204688028737842,-0.3204688028737842,0.9472590703628251,116.83660250885751,-26.83660250885751,-4.683870738285342,0.0,25,-13.114838067198956,13.114838067198956,0.5,2.8
13,7.34639072418213,19.4913005828857,18.6912784576416,4.89973068237305,36.9079818725586,-7.8991239196336505,15.714031112623482,0.9472590703628251,0.3204688028737842,-0.3204688028737842,0.9472590703628251,116.68774634289828,-26.687746342898283,-4.657890436206506,0.0,25,-13.042093221378215,13.042093221378215,0.5,2.8
14,8.25658416748047,22.18332862854,18.6912784576416,6.08295345306396,39.1332817077637,-7.490922581915898,15.3594159635802,0.9472590703628251,0.3204688028737842,-0.3204688028737842,0.9472590703628251,115.99889969325203,-25.998899693252028,-4.537664015429916,0.0,25,-12.705459243203766,12.705459243203766,0.5,2.8
15,9.18630695343018,24.9330997467041,18.6912784576416,7.35039472579956,41.0568695068359,-6.906249702855085,14.685034559956554,0.9472590703628251,0.3204688028737842,-0.3204688028737842,0.9472590703628251,115.18721168870303,-25.18721168870303,-4.3959977336466896,0.0,25,-12.30879365421073,12.30879365421073,0.5,2.8
16,10.1318874359131,27.7297515869141,18.6912784576416,8.69217491149902,42.7869033813477,-6.189128157717184,13.80164066192574,0.9472590703628251,0.3204688028737842,-0.3204688028737842,0.9472590703628251,114.15309722540299,-24.153097225402988,-4.215510711375891,0.0,25,-11.803429991852493,11.803429991852493,0.5,2.8
17,11.0903367996216,30.5644588470459,18.6912784576416,10.4309940338135,44.9032554626465,-5.219705401442027,13.371256365373435,0.9472590703628251,0.3204688028737842,-0.3204688028737842,0.9472590703628251,111.32406321933983,-21.324063219339834,-3.721751130809019,0.0,25,-10.420903166265253,10.420903166265253,0.5,2.8
18,12.0592365264893,33.4300575256348,18.6912460327148,11.8035860061646,46.5742225646973,-4.454455109176863,12.369004060270306,0.9472592517229336,0.32046826679923884,-0.32046826679923884,0.9472592517229335,109.80549324311536,-19.805493243115365,-3.456710670738529,0.0,25,-9.67878987806788,9.67878987806788,0.5,2.8
19,13.0366220474243,36.3207588195801,18.691162109375,13.1630115509033,48.2453994750977,-3.7017286919686825,11.336235431609062,0.9472597211241574,0.320466879311706,-0.320466879311706,0.9472597211241575,108.08390574163877,-18.083905741638773,-3.1562369681190363,0.0,25,-8.8374635107333,8.8374635107333,0.5,2.8
20,14.0019054412842,39.1756706237793,18.6910762786865,14.4943752288818,49.8999214172363,-2.970254936706444,10.31647552139928,0.9472602011914893,0.3204654602896532,-0.3204654602896533,0.9472602011914891,106.06183604985029,-16.061836049850285,-2.8033192298540754,0.0,25,-7.84929384359141,7.84929384359141,0.5,2.8
