time,delta_time,follower_world_cs_x,follower_world_cs_z,follower_compass_heading,leader_world_cs_x,leader_world_cs_z,leader_follower_cs_x,leader_follower_cs_z,follower_FT_R11,follower_FT_R21,follower_FT_R12,follower_FT_R22,x_relative_error_heading,compass_relative_error_heading,linear_distance_error,omega,v,v_without_angle_error,v_max,left_wheel_velocity,right_wheel_velocity,follower_wheel_radius,follower_axle_length,proportional_gain,integral_gain,derivative_gain,logistic_function_mid,logistic_function_growth_rate,lin_val_err_deriv_coeff,max_follower_distance,min_follower_distance,optimal_follower_distance
0,0.25,1.00003349781036,0.928261876106262,0.0395646803081036,0.0,0.0,-0.999392263105149,-0.9289522118067804,0.9999997615814491,0.0006905338839966712,-0.0006905338839966712,0.9999997615814491,-137.09201417387158,-132.90798582612842,-12.135545124463569,-279.57966760948904,-6.273501259049226,-105.08436099570855,100,-100,100,0.5,2.8,30,0.5,0.1,1,10,2,15,12,13.5
0.25,0.25,0.996358454227448,0.928342580795288,358.848009467125,1.00674390792847,14.9974126815796,0.293237410167702,14.066017673091054,0.9997978806331221,-0.020104673126352435,0.020104673126352432,0.999797880633122,88.80571508995196,1.1942849100480402,0.5690739339315325,3.1501602110939766,50.54180301762094,102.96346799704833,100,100,92.26315744417874,0.5,2.8,30,0.5,0.1,1,10,2,15,12,13.5
0.5,0.25,0.990921080112457,0.936471104621887,357.55607509613,1.01225769519806,15.0708322525024,0.6240290258113107,14.12059517459524,0.9990904331876557,-0.0426416030761359,0.0426416030761359,0.9990904331876554,87.46958395216402,2.5304160478359847,0.6343772522830822,5.02718472520538,1.079978709635853,2.651382864269735,100,16.23607464984677,-11.916159811303357,0.5,2.8,30,0.5,0.1,1,10,2,15,12,13.5
0.75,0.25,0.987053871154785,0.990914404392242,357.313795566559,1.02150273323059,15.1690273284912,0.6988815787638333,14.160919368157732,0.998901188206754,-0.04686593858160919,0.04686593858160919,0.9989011882067539,87.17458306821996,2.825416931780041,0.6781547746030832,5.643928774915938,1.5163158785577142,3.9084284584670215,100,18.835632326880052,-12.770368812649197,0.5,2.8,30,0.5,0.1,1,10,2,15,12,13.5
1.0,0.25,0.982013523578644,1.08857274055481,357.314743041992,1.03354036808014,15.3018522262573,0.7173541688832932,14.195258777168567,0.9989019630718565,-0.04684942017988745,0.04684942017988745,0.9989019630718563,87.1070318103081,2.8929681896918993,0.7133728845195471,5.790131378212557,2.0815432513596774,5.424060536617209,100,20.375454361714514,-12.049281356275802,0.5,2.8,30,0.5,0.1,1,10,2,15,12,13.5
1.25,0.25,0.978917896747589,1.19850814342499,357.9429063797,1.05143976211548,15.4606046676636,0.5844179876423529,14.250302182879336,0.9993555544901753,-0.03589534384337597,0.03589534384337597,0.9993555544901753,87.65156344926744,2.3484365507325577,0.7622809076127623,4.65051732950031,3.6046065219164385,8.568444139069692,100,20.230661566433746,-5.812235478767992,0.5,2.8,30,0.5,0.1,1,10,2,15,12,13.5
1.5,0.25,0.977873504161835,1.30967569351196,358.838030576706,1.07341814041138,15.6287803649902,0.3858992788824208,14.314222616573492,0.9997943639493577,-0.020278802112042752,0.020278802112042752,0.9997943639493576,88.45572851966512,1.544271480334885,0.8194234300919412,2.967834438987566,7.137642214603537,14.217772009343685,100,22.58522085837226,5.965348000041889,0.5,2.8,30,0.5,0.1,1,10,2,15,12,13.5
1.75,0.25,0.97787880897522,1.4273396730423,359.554127544165,1.14341521263123,16.0403423309326,0.27924778854252985,14.611272006674794,0.9999697208390607,-0.007781863854553274,0.007781863854553274,0.9999697208390609,88.90510750082346,1.094892499176538,1.1139402277566575,2.0315228607733338,44.62922096294878,77.70513687382442,100,94.9467059360629,83.57017791573222,0.5,2.8,30,0.5,0.1,1,10,2,15,12,13.5
2.0,0.25,0.978023052215576,1.57351684570313,359.377874553204,1.18801474571228,16.2646942138672,0.3694950027283219,14.688031264167183,0.9999410510051981,-0.010857924047431236,0.010857924047431234,0.999941051005198,88.55896003248064,1.4410399675193588,1.192678073591411,2.7651901070192952,45.08395445525937,87.48134606125075,100,97.91044121017276,82.4253766108647,0.5,2.8,30,0.5,0.1,1,10,2,15,12,13.5
2.25,0.25,0.976784348487854,1.79707598686218,359.315286815166,1.24647903442383,16.5254554748535,0.4456827303631091,14.724104878387742,0.9999285936305924,-0.011950215058554859,0.011950215058554859,0.9999285936305924,88.2662480830721,1.7337519169279005,1.2308485012203434,3.3816539898957383,43.475184144407436,91.00399749383213,100,96.41899946052294,77.4817371171068,0.5,2.8,30,0.5,0.1,1,10,2,15,12,13.5
