time,follower_world_cs_x,follower_world_cs_z,follower_compass_heading,leader_world_cs_x,leader_world_cs_z,leader_follower_cs_x,leader_follower_cs_z,follower_FT_R11,follower_FT_R21,follower_FT_R12,follower_FT_R22,x_relative_error_heading,compass_relative_error_heading,linear_distance_error,omega,v,v_without_angle_error,v_max,left_wheel_velocity,right_wheel_velocity,follower_wheel_radius,follower_axle_length,proportional_gain,logistic_function_mid,logistic_function_growth_rate,max_follower_distance,min_follower_distance,optimal_follower_distance
0,1.00003349781036,0.928261876106262,0.0395646803081036,0.0,0.0,-0.999392263105149,-0.9289522118067804,0.9999997615814491,0.0006905338839966712,-0.0006905338839966712,0.9999997615814491,-137.09201417387158,-132.90798582612842,-12.135545124463569,-69.5904586457969,1.3891963954059284e-39,1.1671768083053615e-38,100,-100,100,0.5,2.8,30,1,7,15,12,13.5
1,0.977631747722626,0.927098274230957,353.920587539673,0.989044964313507,15.1792526245117,1.5207487850635493,14.170792392045934,0.9943760627858796,-0.1059067786237141,0.1059067786237141,0.9943760627858795,83.87470472185699,6.125295278143014,0.7521589201685241,3.2071971078137236,7.311206733974525,14.996347447528208,100,23.602565369827474,5.642261566070625,0.5,2.8,30,1,7,15,12,13.5
2,0.949443578720093,0.947538018226624,347.82585811615,0.946866154670715,15.8388223648071,3.137809056022508,14.556940285024549,0.9775111675814023,-0.210883658100014,0.210883658100014,0.9775111675814022,77.83577502560749,12.16422497439251,1.3912845696342622,6.369173302694167,34.60108240192904,93.92886397204528,100,87.03585005140175,51.36847955631441,0.5,2.8,30,1,7,15,12,13.5
3,0.85244232416153,1.43025279045105,348.981557846069,0.872524499893188,16.6838436126709,2.935053728205121,14.968563587667354,0.9815657157034752,-0.19112494801967717,0.19112494801967717,0.9815657157034754,78.90612490300153,11.093875096998476,1.7536040418483303,5.8087394174288605,38.12853477693635,99.49092597924317,100,92.5215399226735,59.99259918507189,0.5,2.8,30,1,7,15,12,13.5
4,0.659496665000916,2.52150559425354,350.864640235901,0.793009638786316,17.5327129364014,2.5151100661963333,14.799607864333456,0.9873160123697048,-0.15876741390595575,0.15876741390595575,0.9873160123697048,80.35505243078478,9.64494756921522,1.5118010772566137,5.050082737950877,39.55573122883213,97.29489960094915,100,93.25169412392671,64.97123079140181,0.5,2.8,30,1,7,15,12,13.5
5,0.42822191119194,4.09999132156372,352.959590435028,0.712771713733673,18.3841438293457,2.0332033710149635,14.14157224313457,0.9924599527869886,-0.12256933594520335,0.12256933594520335,0.9924599527869887,81.81837140485658,8.181628595143422,0.7869864371637423,4.283890714817126,7.994071312407326,18.37574398157521,100,27.983036626302603,3.9932486233267,0.5,2.8,30,1,7,15,12,13.5
6,0.212882861495018,5.99800395965576,355.182037353516,0.632235467433929,19.2376956939697,1.529875834943455,13.157688769591136,0.9964665766621656,-0.08399024702418967,0.08399024702418967,0.9964665766621656,83.36786336788687,6.632136632113131,-0.25366866533346055,3.472578620175061,0.007301704531828274,0.015441989282214606,100,9.737823545553827,-9.708616727426513,0.5,2.8,30,1,7,15,12,13.5
7,0.111557312309742,7.83710432052612,1.5872061252594,0.54804402589798,20.1330070495605,0.09574204531141661,12.30327509380221,0.9996163248886137,0.027698429850470434,-0.027698429850470434,0.9996163248886137,89.55414275062503,0.44585724937496707,-1.1963523874822304,0.23345030986435816,1.8940569104470338e-05,2.1035549108567106e-05,100,0.6536987487584117,-0.6536229864819939,0.5,2.8,30,1,7,15,12,13.5
8,0.194440588355064,9.43497848510742,6.14576864242554,0.386963337659836,21.8457221984863,-1.1372571989305158,12.360027127464322,0.9942527417220032,0.1070583279258537,-0.1070583279258537,0.9942527417220032,95.25703412626778,-5.257034126267783,-1.0877631134362709,-2.7525766317922837,2.3222395750738928e-05,4.498542282387708e-05,100,-7.707168124226892,7.707261013809895,0.5,2.8,30,1,7,15,12,13.5
9,0.315687745809555,10.7512578964233,4.29536914825439,0.214353427290916,23.6671485900879,-1.0684257561311261,12.87202266384103,0.9971911903194604,0.07489813047905575,-0.07489813047905576,0.9971911903194605,94.74488593209337,-4.744885932093368,-0.5837117926704085,-2.4844164643976803,0.0008210077717950707,0.0015325416875014628,100,-6.954724084769914,6.958008115857094,0.5,2.8,30,1,7,15,12,13.5
