time,delta_time,follower_world_cs_x,follower_world_cs_z,follower_compass_heading,leader_world_cs_x,leader_world_cs_z,leader_follower_cs_x,leader_follower_cs_z,follower_FT_R11,follower_FT_R21,follower_FT_R12,follower_FT_R22,x_relative_error_heading,compass_relative_error_heading,linear_distance_error,omega,v,v_without_angle_error,v_max,left_wheel_velocity,right_wheel_velocity,follower_wheel_radius,follower_axle_length,proportional_gain,integral_gain,derivative_gain,logistic_function_mid,logistic_function_growth_rate,lin_val_err_deriv_coeff,max_follower_distance,min_follower_distance,optimal_follower_distance
0,0.05,1.00003349781036,0.928261876106262,0.0395646803081036,0.0,0.0,-0.999392263105149,-0.9289522118067804,0.9999997615814491,0.0006905338839966712,-0.0006905338839966712,0.9999997615814491,-137.09201417387158,-132.90798582612842,-12.135545124463569,-1438.2028120131358,-17.312393133308493,-656.7772562231784,100,-100,100,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
0.05,0.05,0.999685406684875,0.928282618522644,359.839287444949,0.0,0.0,-1.002285269217876,-0.9254748896100912,0.9999960660932046,-0.0028049595567775924,0.0028049595567775924,0.9999960660932047,-137.28170700964557,-132.71829299035443,-12.135786112008105,-1389.7564988938834,-1.5572569626366186e-06,-5.80745469319305e-05,100,-100,100,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
0.1,0.05,0.998288154602051,0.928291380405426,359.507422178984,0.0,0.0,-1.0062317829587863,-0.9196747933467365,0.9999630451221502,-0.008596998897115743,0.008596998897115744,0.9999630451221501,-137.57334137234034,-132.42665862765966,-12.136803709455686,-1386.6669266835104,-2.779389695909908e-05,-0.0010353616197113383,100,-100,100,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
0.15000000000000002,0.05,0.99415796995163,0.928217589855194,358.228553652763,0.999991893768311,14.9384250640869,0.4389237176932647,14.003331513455336,0.9995220899642059,-0.030912645852239514,0.030912645852239514,0.9995220899642058,88.20469539127815,1.7953046087218496,0.5102086888698789,65.65268963836769,77.54566246776884,633.0913067565186,100,100,-28.736206051891855,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
0.2,0.05,0.992280781269073,0.928148567676544,357.446180343628,0.99994295835495,14.9569730758667,0.632748182039507,14.01454977973535,0.9990068078290755,-0.04455780415550773,0.04455780415550773,0.9990068078290756,87.41488689028178,2.585113109718222,0.5288266006303761,27.346936356683987,0.22958579648278477,1.2223570477798653,100,77.03059339168074,-76.11225020574959,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
0.25,0.05,0.989350378513336,0.927998900413513,356.912630558014,0.99994295835495,14.9569730758667,0.7661593685959842,14.008041563337562,0.9985485674581058,-0.053858689432297484,0.05385868943229749,0.9985485674581057,86.86936937610884,3.1306306238911645,0.5289781744174125,32.9743087653913,0.1530811421865303,0.8922714738159353,100,92.6342268274687,-92.02190225872258,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
0.3,0.05,0.98698765039444,0.93060576915741,356.465148210526,0.99994295835495,14.9569730758667,0.8777357638862391,13.99888308371502,0.9980974792552519,-0.06165567211791274,0.06165567211791274,0.998097479255252,86.41222757604419,3.5877724239558124,0.5263732897255924,37.73063755736452,0.1386263982308578,0.8627267470942974,100,100,-100,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
0.35,0.05,0.987407743930817,0.935116648674011,357.109778642654,0.999877452850342,14.9967374801636,0.7214757603813947,14.043105376995667,0.9987279773110819,-0.050422488396697204,0.050422488396697204,0.9987279773110819,87.05896931461682,2.9410306853831827,0.5616263604969429,30.57264586230991,0.40993774697952196,2.3034214091010847,100,86.42328390842678,-84.78353292050869,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
0.39999999999999997,0.05,0.989870011806488,0.940214395523071,357.678301095963,0.999793171882629,15.0400438308716,0.5811019511383917,14.087853246588349,0.9991791248542833,-0.0405102018685239,0.0405102018685239,0.9991791248542833,87.63797755158727,2.3620224484127306,0.599832927202602,24.532929235866,0.5986481572368977,3.024976260910175,100,69.88949817489858,-67.494905545951,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
0.44999999999999996,0.05,0.991432845592499,0.942789793014526,358.17447245121,0.999793171882629,15.0400438308716,0.4574392774050745,14.089832880854917,0.9994924664197506,-0.03185607587515277,0.03185607587515277,0.9994924664197508,88.14049339725143,1.8595066027485672,0.5972565168877182,19.297296487316377,0.38714082917835185,1.7441670337701802,100,54.80671182284256,-53.258148506129146,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
