time,follower_world_cs_x,follower_world_cs_z,follower_compass_heading,leader_world_cs_x,leader_world_cs_z,leader_follower_cs_x,leader_follower_cs_z,follower_FT_R11,follower_FT_R21,follower_FT_R12,follower_FT_R22,x_relative_error_heading,compass_relative_error_heading,omega,v,v_max,left_wheel_velocity,right_wheel_velocity,follower_wheel_radius,follower_axle_length
0,1.00003349781036,0.928261876106262,0.0395646803081036,0.0,0.0,-0.999392263105149,-0.9289522118067804,0.9999997615814491,0.0006905338839966712,-0.0006905338839966712,0.9999997615814491,-137.09201417387158,-132.90798582612842,-23.196819548598967,0.0,25,-64.95109473607711,64.95109473607711,0.5,2.8
1,1.02256119251251,0.927970945835114,6.49688100814819,1.00688505172729,15.0452356338501,-1.6129316418267998,14.024830107051516,0.993578016611234,0.11314912684986324,-0.11314912684986322,0.9935780166112339,96.56050355520195,-6.560503555201947,-1.1450238762706755,0.0,25,-3.2060668535578913,3.2060668535578913,0.5,2.8
2,1.04998517036438,0.925337314605713,13.6167879104614,1.04607844352722,15.5718278884888,-3.451974667934583,14.23388816470393,0.9718920612042734,0.23542689176920492,-0.23542689176920492,0.9718920612042734,103.63207068096824,-13.63207068096824,-2.3792451724748127,0.0,25,-6.661886482929475,6.661886482929475,0.5,2.8
3,1.07561242580414,0.920455813407898,20.7377395629883,1.12764382362366,16.2545185089111,-5.380992107992911,14.359007972339175,0.9352110012412042,0.3540909249859764,-0.3540909249859764,0.9352110012412042,110.54332480709542,-20.543324807095416,-3.5854865719044398,0.0,25,-10.039362401332431,10.039362401332431,0.5,2.8
4,1.11114001274109,0.943351030349731,26.4101963043213,1.28108179569244,17.1328392028809,-7.048791061436279,14.575422877924856,0.8956326191882011,0.4447945721859507,-0.4447945721859507,0.8956326191882011,115.80878202769235,-25.808782027692345,-4.504482223127698,0.0,25,-12.612550224757554,12.612550224757554,0.5,2.8
5,1.32779586315155,1.37618470191956,26.5377159118652,1.52374339103699,18.1561298370361,-7.321755775823849,15.09956444836724,0.8946404505033578,0.4467868220115148,-0.4467868220115148,0.8946404505033578,115.86867581735729,-25.868675817357285,-4.5149356614392,0.0,25,-12.641819852029759,12.641819852029759,0.5,2.8
6,1.75877475738525,2.23986911773682,26.5394821166992,1.88293373584747,19.7774620056152,-7.724973110428473,15.745074474134828,0.8946266773876795,0.4468144000659345,-0.4468144000659345,0.8946266773876794,116.13385822894446,-26.13385822894446,-4.5612187234449495,0.0,25,-12.771412425645858,12.771412425645858,0.5,2.8
7,2.37994027137756,3.48438549041748,26.5398654937744,2.07658314704895,21.337947845459,-8.248726095320047,15.836673644254425,0.8946236876466065,0.44682038617501246,-0.44682038617501246,0.8946236876466065,117.51330766560375,-27.513307665603747,-4.801978068789804,0.0,25,-13.44553859261145,13.44553859261145,0.5,2.8
8,3.15029215812683,5.02762889862061,26.540132522583,2.221848487854,23.0723915100098,-8.893448801256682,15.728383062784461,0.8946216052162237,0.4468245555924016,-0.4468245555924016,0.8946216052162237,119.48553207945584,-29.485532079455837,-5.1461961648891466,0.0,25,-14.40934926168961,14.40934926168961,0.5,2.8
9,4.04176712036133,6.8133978843689,26.5403461456299,2.50823998451233,24.9167308807373,-9.460998058121804,15.510379969491453,0.8946199392579267,0.44682789111932536,-0.44682789111932536,0.8946199392579267,121.3822925832717,-31.382292583271706,-5.47724332402288,0.0,25,-15.336281307264063,15.336281307264063,0.5,2.8
10,5.05145025253296,8.83586502075195,26.5405139923096,3.01996397972107,26.8145961761475,-9.85085111204796,15.176377789277558,0.8946186302819688,0.44683051188612216,-0.4468305118861221,0.8946186302819689,122.98724176552925,-32.98724176552925,-5.757359799598727,0.0,25,-16.120607438876434,16.120607438876434,0.5,2.8
11,6.1012282371521,10.9385786056519,26.540620803833,3.68379211425781,28.620756149292,-10.063647312052161,14.738602473494893,0.8946177972932714,0.44683217964481375,-0.4468321796448138,0.8946177972932715,124.32560480474302,-34.32560480474302,-5.99094821581151,0.0,25,-16.77465500427223,16.77465500427223,0.5,2.8
12,7.23569107055664,13.2108764648438,26.5407047271729,4.44480180740356,30.6443099975586,-10.286619327024614,14.349185706500966,0.8946171427999704,0.44683349002555484,-0.4468334900255548,0.8946171427999702,125.63591619893192,-35.63591619893192,-6.219640696361447,0.0,25,-17.41499394981205,17.41499394981205,0.5,2.8
13,8.42277431488037,15.588529586792,26.5407657623291,4.95318078994751,32.1587715148926,-10.508111017239631,13.273680711596397,0.8946166668036374,0.4468344430291266,-0.4468344430291266,0.8946166668036373,128.36690282119426,-38.36690282119426,-6.69628778022541,0.0,25,-18.749605784631147,18.749605784631147,0.5,2.8
14,9.67659378051758,18.0998134613037,26.5407657623291,5.41107034683228,33.6868019104004,-10.780811658569903,12.038396864119225,0.8946166668036374,0.4468344430291266,-0.4468344430291266,0.8946166668036373,131.84557379001467,-41.84557379001467,-7.303430400219982,0.0,25,-20.44960512061595,20.44960512061595,0.5,2.8
15,10.9416770935059,20.6336460113525,26.5407657623291,5.97068071365356,35.5216102600098,-11.099591424922783,11.097808552934389,0.8946166668036374,0.4468344430291266,-0.4468344430291266,0.8946166668036373,135.00460193717416,-45.00460193717416,-7.854784823531072,0.0,25,-21.993397505887,21.993397505887,0.5,2.8
